protname,dom_hostname,cattle,sheep,goat,dog,cat,pig,horse,chicken,numdomhosts
Hepatocystis cercopitheci,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hepatocystis foleyi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hepatocystis kochi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hepatocystis semnopitheci,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hepatocystis simiae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hepatocystis taiwanensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hepatozoon americanum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hepatozoon canis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hepatozoon JM-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hepatozoon JM-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hepatozoon JM-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hepatozoon JM-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hepatozoon JM-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hepatozoon JM-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hepatozoon JM-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hepatozoon JM-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hepatozoon procyonis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iodamoeba butschlii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isospora arctopitheci,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cystoisospora canis,dog,0,0,0,1,0,0,0,0,1
Isospora cebi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isospora endocallimici,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isospora lutrae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isospora melis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isospora papionis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isospora saimirae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isospora sengeri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isospora spilogales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isospora vulpis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leishmania braziliensis,rodents,0,0,0,0,0,0,0,0,0
Leishmania chagasi,dog,0,0,0,1,0,0,0,0,1
Leishmania donovani,"dogs, rodents",0,0,0,1,0,0,0,0,1
Leishmania infantum,"dogs, cats, rodents",0,0,0,1,1,0,0,0,2
Leishmania shawi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metadinium medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neospora caninum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ostracodinium gracile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ostracodinium mammosum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ostracodinium trivesiculatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paraisotricha minuta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paraplagiopyla kiboko,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parentodinium africanum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parentodinium ostrea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pentatrichomonas hominis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plasmodium brasilianum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plasmodium coatneyi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plasmodium cynomolgi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plasmodium eylesi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plasmodium falciparum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plasmodium fieldi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plasmodium fragile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plasmodium gaboni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plasmodium georgesi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plasmodium girardi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plasmodium gonderi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plasmodium hylobati,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plasmodium inui,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plasmodium jefferyi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plasmodium knowlesi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plasmodium petersi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plasmodium pitheci,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plasmodium reichenowi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plasmodium rodhaini,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
