protname,type,intra_extra,dom_host,flagella,cyst,sexual,cattle,sheep,goat,dog,cat,pig,horse,chicken,numdomhosts,muscular,skeletal,circulatory,respiratory,digestive,immune,urinary,nervous,endocrine,reproductive,lymphatic,integumentary,ocular,multi,numsys
Diploplastron affine,Ciliate,NA,1,NA,NA,NA,1,1,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria auburnensis,Sporozoan,1,1,0,1,1,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria bovis,Sporozoan,1,1,0,1,1,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria crispus,Sporozoan,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria felina,Sporozoan,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria furonis,Sporozoan,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria hreindyria,Sporozoan,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria ictidea,Sporozoan,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria kamoshika,Sporozoan,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria macusaniensis,Sporozoan,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria madisonensis,Sporozoan,1,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria mayeri,Sporozoan,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria mccordocki,Sporozoan,1,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria melis,Sporozoan,1,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria mephitidis,Sporozoan,1,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria nuttalli,Sporozoan,1,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
