"","protname","normalised.degree","betweenness","weighted.betweenness","closeness","weighted.closeness","types","deg","bet","clos","eig"
"109","Isospora sengeri",0.00408163265306122,0,0,0.000112803582641785,NA,"FALSE",2,0,0,2.9505451706319e-17
"110","Isospora spilogales",0.00408163265306122,0,0,0.000112803582641785,NA,"FALSE",2,0,0,2.78833071713809e-17
"111","Isospora vulpis",0.00408163265306122,0,0,0.00500095883045246,0.00172322684476332,"FALSE",2,0,0,0.0178424980402794
"112","Leishmania braziliensis",0.00408163265306122,0,0,0.00404682852727403,0.0016118684521993,"FALSE",2,0,0,0.00624506681152486
"113","Leishmania chagasi",0.00408163265306122,0,0,0.00488815524781067,0.00171511485945954,"FALSE",2,0,0,0.0141762789052364
"114","Leishmania donovani",0.00408163265306122,0,0,0.00488815524781067,0.00171866679469442,"FALSE",2,0,0,0.0138218574923252
"115","Leishmania infantum",0.0285714285714286,0.00150697955294545,6.42487987616258e-05,0.00548037405668004,0.00308487586520045,"FALSE",14,272.705918122081,0,0.101610108370031
"116","Leishmania shawi",0.00816326530612245,8.1915634343502e-06,0,0.00450274300711791,0.00209365949995887,"FALSE",4,16.1479279027892,0,0.0184193474617066
"117","Metadinium medium",0.00816326530612245,0.000312702714180547,5.39689909597657e-05,0.00577178331183798,0.00248530086672193,"FALSE",4,31.668775230029,0,0.0227988096404871
"118","Neospora caninum",0.151020408163265,0.0311086226065035,0.00655766072693661,0.00664601107731181,0.0035321571759166,"FALSE",74,9902.84832131324,0,0.516637345389668
"119","Ostracodinium gracile",0.00408163265306122,0,0,0.00569658092341013,0.00186092405258931,"FALSE",2,0,0,0.0124926003088604
"120","Ostracodinium mammosum",0.00408163265306122,0,0,0.00569658092341013,0.00186092405258931,"FALSE",2,0,0,0.0124926003088604
"121","Ostracodinium trivesiculatum",0.00408163265306122,0,0,0.00569658092341013,0.00186092405258931,"FALSE",2,0,0,0.0124926003088604
"122","Paraisotricha minuta",0.00408163265306122,0,0,0.000225607165283569,NA,"FALSE",2,0,0,2.22183137859454e-17
"123","Paraplagiopyla kiboko",0.00408163265306122,0,0,0.000225607165283569,NA,"FALSE",2,0,0,2.81814624190457e-17
"124","Parentodinium africanum",0.00408163265306122,0,0,0.000225607165283569,NA,"FALSE",2,0,0,2.90491003532356e-17
"125","Parentodinium ostrea",0.00408163265306122,0,0,0.000225607165283569,NA,"FALSE",2,0,0,2.57139878150573e-17
"126","Pentatrichomonas hominis",0.0122448979591837,3.21636247859183e-05,9.34527981987285e-06,0.00488815524781067,0.0025944720587973,"FALSE",6,8.69106412279718,0,0.111618957814327
"127","Plasmodium brasilianum",0.118367346938776,0.00730876724324464,0.0187169600552368,0.00607259286554941,0.00308198576834947,"FALSE",58,7811.18536205137,0,0.250968964598518
"128","Plasmodium coatneyi",0.0122448979591837,0.00218754822248704,0,0.00444634121579701,0.0019012305170045,"FALSE",6,404.971080281568,0,0.0158554343221519
