gmpdprotname
Chaetopsylla lotoris
Chaetopsylla matina
Chaetopsylla trichosa
Cheirogalalges evansi
Cheyletiella parasitovorax
Chilomastix mesnili
Chitwoodspirura wehri
Chlamydia psittaci
Chlamydonema tumefaciens
Chlamydophila abortus
Chlamydophila felis
Chorioptes bovis
Chorioptes texanus
Chronic wasting disease prion protein
Chrysosporium parvum
Citrobacter freundii
Citrobacter koseri
Clostridioides difficile
Clostridium bartlettii
Clostridium botulinum
Clostridium colicanis
Clostridium disporicum
Clostridium glycolicum
Clostridium haemolyticum
Clostridium hiranonis
Clostridium paraputrificum
Clostridium perfringens
Clostridium sardiniense
Clostridium sordellii
Coccidioides immitis
Cochliomyia hominivorax
Colobenterobius colobis
Colobenterobius entellus
Colobenterobius guerezae
Colobenterobius inglisi
Colobenterobius longispiculum
Colobenterobius paraguerezae
Colobenterobius pesteri
Colobenterobius presbytis
Colobenterobius zakiri
Coltivirus Colorado tick fever virus
Concinnum ten
Contracaecum margolisi
Contracaecum ogmorhini
Contracaecum osculatum
Contracaecum rodhaini
Contracaecum spiculigerum
Controrchis biliophilus
Cooperia acutispiculum
Cooperia connochaeti
Cooperia fuelleborni
Cooperia hungi
Cooperia neitzi
Cooperia oncophora
Cooperia pectinata
Cooperia punctata
Cooperia rotundispiculum
Cooperia surnabada
Cooperia yoshidai
Cooperioides antidorca
Cooperioides hamiltoni
Cooperioides hepaticae
Corynebacterium bovis
Corynebacterium pseudotuberculosis
Corynebacterium ulcerans
Corynebacterium xerosis
Corynosoma australe
Corynosoma enhydri
Corynosoma hadweni
Corynosoma magdaleni
Corynosoma obtuscens
Corynosoma reductum
Corynosoma semerme
Corynosoma strumosum
Corynosoma validum
Corynosoma villosum
Cotylophoron cotylophorum
Cotylophoron indicum
Cotylophoron jacksoni
Coxiella burnetii
Craterostomum acuticaudatum
Crenosoma goblei
Crenosoma melesi
Crenosoma petrowi
Crenosoma taiga
Crenosoma vulpis
Crenosoma zederi
Cruzia americana
Cryptococcus diffluens
Cryptocotyle jejunum
Cryptocotyle lingua
Cryptosporidium parvum
Ctenocephalides canis
Ctenocephalides connatus
Ctenocephalides felis
Ctenophthalmus pseudagyrtes
Cyathostomum alveatum
Cyathostomum catinatum
Cyathostomum labratum
Cyathostomum montgomeryi
Cyathostomum tetracanthum
Cyclospora cercopitheci
Cyclospora colobi
Cyclospora papionis
Cylicocyclus auriculatus
Cylicocyclus gyalocephaloides
Cylicocyclus insigne
Cylicocyclus nassatus
Cylicocyclus triramosus
Cylicodontophorus reineckei
Cylicospirura felineus
Cylicospirura petrowi
Cylicospirura subaequalis
Cylicostephanus bidentatus
Cylicostephanus calicatus
Cylicostephanus longiconus
Cylicostephanus minutus
Cystoisospora canis
Cystoisospora felis
Cystoisospora ohioensis
Cytauxzoon felis
Cytauxzoon manul
Cytomegalovirus Macacine betaherpesvirus 3
Dactylopsylla percernis
Damalinia aepycerus
Damalinia antidorcus
Damalinia balanicus
Damalinia cornutus
Damalinia elongata
Damalinia lerouxi
Damalinia lipeuroides
Damalinia meyeri
Damalinia natalensis
Damalinia parallelus
Damalinia pelea
Damalinia reduncae
Damalinia sedecimdecembrii
Damalinia theileri
Damalinia thompsoni
Damalinia tibialis
Damalinia zaganseeri
Daubentonialges brygooi
Deltaretrovirus Primate T-lymphotropic virus 1
Deltaretrovirus Primate T-lymphotropic virus 2
Demodex bisonianus
Demodex bovis
Demodex kutzeri
Demodex phylloides
Demodex ursi
Dermacentor albipictus
Dermacentor andersoni
Dermacentor atrosignatus
Dermacentor auratus
Dermacentor hunteri
Dermacentor nigrolineatus
Dermacentor nitens
Dermacentor occidentalis
Dermacentor reticulatus
Dermacentor rhinocerinus
Dermacentor steini
Dermacentor taiwanensis
Dermacentor variabilis
Dermatobia hominis
Dermatophilus congolensis
Dicrocoelium colobusicola
Dicrocoelium dendriticum
Dictyocaulus capreolus
Dictyocaulus eckerti
Dictyocaulus filaria
Dictyocaulus noerneri
Dictyocaulus viviparus
Didelphonema longispiculata
Dientamoeba fragilis
Dioctophyma renale
Dipetalonema barbascalensis
Dipetalonema caudispina
Dipetalonema elegans
Dipetalonema gracile
Dipetalonema graciliformis
Dipetalonema mephitis
Dipetalonema obtusa
Dipetalonema parvum
Dipetalonema petteri
Dipetalonema rodhaini
Dipetalonema witei
Diphyllobothrium cordatum
Diphyllobothrium dendriticum
Diphyllobothrium ditremum
Diphyllobothrium fayi
Diphyllobothrium lanceolatum
Diphyllobothrium latum
Diphyllobothrium medium
Diphyllobothrium pacificum
Diplogonoporus tetrapterus
Diplopylidium monoophorum
Diplopylidium noelleri
Dipylidium caninum
Dirofilaria aethiops
Dirofilaria corynodes
Dirofilaria immitis
Dirofilaria lutrae
Dirofilaria macacae
Dirofilaria magnilarvatum
Dirofilaria repens
Dirofilaria schoutedeni
Dirofilaria striata
Dirofilaria tenuis
Dirofilaria ursi
Dolphin rhabdovirus
Dracunculus insignis
Draschia megastoma
Ebolavirus Tai Forest ebolavirus
Ebolavirus Zaire ebolavirus
Echidnophaga bradyta
Echidnophaga gallinacea
Echidnophaga larina
Echinochasmus perfoliatus
Echinococcus granulosus
Echinococcus multilocularis
Echinococcus oligarthrus
Echinococcus shiquicus
Echinococcus sibiricensis
Echinophthirius horridus
Echinorhynchus gadi
Echinostoma cinetorchis
Echinostoma hortense
Edwardsiella tarda
Ehrlichia canis
Ehrlichia chaffeensis
Ehrlichia ewingii
Ehrlichia muris
Ehrlichia ruminantium
Eimeria auburnensis
Eimeria bovis
Eimeria felina
Eimeria furonis
Eimeria ictidea
Eimeria macusaniensis
Eimeria madisonensis
Eimeria mccordocki
Eimeria melis
Eimeria mephitidis
Eimeria nuttalli
Eimeria odocoilei
Eimeria pachylepyron
Eimeria procyonis
Eimeria vulpis
Eimeria zuernii
Elaeophora elaphi
Elaeophora sagitta
Elaeophora schneideri
Elaphostrongylus alces
Elaphostrongylus cervi
Elaphostrongylus rangiferi
Emmonsia crescens
Empedobacter brevis
Encephalitozoon intestinalis
Endolimax nana
Entamoeba chattoni
Entamoeba coli
Entamoeba dispar
Entamoeba hartmanni
Entamoeba histolytica
Entamoeba polecki
Enterobacter aerogenes
Enterobacter amnigenus
Enterobacter cloacae
Enterobius anthropopitheci
Enterobius bipapillatus
Enterobius brevicauda
Enterobius buckleyi
Enterobius callithricis
Enterobius lerouxi
Enterobius macaci
Enterobius vermicularis
Enterococcus faecalis
Enterococcus faecium
Enterovirus Enterovirus B
Enterovirus Enterovirus C
Entomophthora coronata
Entopolypoides macaci
Ephemerovirus Bovine ephemeral fever virus
Erysipelothrix rhusiopathiae
Escherichia coli
Eucoleus aerophilus
Eucoleus boehmi
Eucoleus schvalovoj
Euhoplopsyllus glacialis
Euparadistomum cercopitheci
Euparyphium inermo
Euparyphium melis
Euryhelmis costaricensis
Euryhelmis squamula
Eurytrema procyonis
Eutrombicula splendens
Fasciola gigantica
Fasciola hepatica
Fascioloides magna
Felicola cynictis
Felicola inaequalis
Felicola isidoroi
Fibricola cartera
Fibricola cratera
Fibricola texensis
Filaria gracilis
Filaria taxideae
Filariopsis arator
Filariopsis barretoi
Filariopsis cebuellaa
Filariopsis gordius
Filariopsis usper
Filaroides barretoi
Filaroides bronchialis
Filaroides gordius
Filaroides hispidus
Filaroides krascheninnikovi
Filaroides martis
Filaroides milksi
Flavivirus Bouboui virus
Flavivirus Dengue virus
Flavivirus Ilheus virus
Flavivirus Japanese encephalitis virus
Flavivirus St. Louis encephalitis virus
Flavivirus Tembusu virus
Flavivirus Tick-borne encephalitis virus
Flavivirus Uganda S virus
Flavivirus West Nile virus
Flavivirus Yellow fever virus
Flavivirus Zika virus
Fonsecalges johnjadini
Fonsecalges saimirii
Foxella ignota
Francisella tularensis
Fusobacterium necrophorum
Gaigeria pachyscelis
Galactosomum stelleri
Galagalges congolensis
Gammaretrovirus Feline leukemia virus
Gastrodiscus aegyptiacus
Gastrothylax crumenifer
Gaudalges caparti
Gaudalges haymani
Gaudalges propitheci
Gemella morbillorum
Giardia intestinalis
Globocephalus urosubulatus
Gnathostoma doloresi
Gnathostoma procyonis
Gnathostoma spinigerum
Gongylonema macrogubernaculum
Gongylonema pulchrum
Gongylonema verrucosum
