Sample Name	Protocol REF	Assay Name	Raw Data File	Comment [Data Repository]	Comment [Data Record Accession]	Comment [Data Record URI]
south africa	Species-Location Interactions	south africa_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
botswana	Species-Location Interactions	botswana_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
ukraine	Species-Location Interactions	ukraine_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
mozambique	Species-Location Interactions	mozambique_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
madagascar	Species-Location Interactions	madagascar_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
pakistan	Species-Location Interactions	pakistan_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
bangladesh	Species-Location Interactions	bangladesh_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
turkmenistan	Species-Location Interactions	turkmenistan_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
tajikistan	Species-Location Interactions	tajikistan_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
india	Species-Location Interactions	india_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
vietnam	Species-Location Interactions	vietnam_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
thailand	Species-Location Interactions	thailand_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
china	Species-Location Interactions	china_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
afghanistan	Species-Location Interactions	afghanistan_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
myanmar	Species-Location Interactions	myanmar_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
aland islands	Species-Location Interactions	aland islands_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
albania	Species-Location Interactions	albania_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
sri lanka	Species-Location Interactions	sri lanka_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
romania	Species-Location Interactions	romania_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
zambia	Species-Location Interactions	zambia_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
comoros	Species-Location Interactions	comoros_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
malawi	Species-Location Interactions	malawi_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
hong kong	Species-Location Interactions	hong kong_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
south korea	Species-Location Interactions	south korea_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
japan	Species-Location Interactions	japan_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
russia	Species-Location Interactions	russia_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
australia	Species-Location Interactions	australia_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
papua new guinea	Species-Location Interactions	papua new guinea_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
new zealand	Species-Location Interactions	new zealand_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
cameroon	Species-Location Interactions	cameroon_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
senegal	Species-Location Interactions	senegal_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
portugal	Species-Location Interactions	portugal_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
