Spp,Label,Order,Zoonosis,Parasite
Giraffa camelopardalis,1,Artiodactyla,Toxoplasmosis,Toxoplasma gondii
Giraffa camelopardalis,1,Artiodactyla,Trypanosomiasis - African,Trypanosoma brucei
Hippopotamus amphibius,1,Artiodactyla,Anthrax,Bacillus anthracis
Hippopotamus amphibius,1,Artiodactyla,Echinococcosis - unilocular,Echinococcus felidis
Hippopotamus amphibius,1,Artiodactyla,Trypanosomiasis - African,Trypanosoma (Trypanozoon) brucei rhodesiense
Hippotragus niger,1,Artiodactyla,Tuberculosis,Mycobacterium tuberculosis 
Hydropotes inermis,1,Artiodactyla,Anaplasmosis,Anaplasma sp.
Hydropotes inermis,1,Artiodactyla,Bartonellosis - other systemic,Bartonella grahamii
Hydropotes inermis,1,Artiodactyla,Brucellosis,Borrelia afzelii
Hydropotes inermis,1,Artiodactyla,Q-fever,Coxiella burnetii
Kobus ellipsiprymnus,1,Artiodactyla,Rift Valley fever,Rift Valley fever virus
Kobus ellipsiprymnus,1,Artiodactyla,Trypanosomiasis - African,Trypanosoma brucei
Kobus ellipsiprymnus,1,Artiodactyla,Pentastomiasis - Armillifer,Armillifer Sp.
Kobus ellipsiprymnus,1,Artiodactyla,Pentastomiasis - Linguatula,Linguatula Sp.
Kobus kob,1,Artiodactyla,Trypanosomiasis - African,Trypanosoma sp.
Kobus leche,1,Artiodactyla,Brucellosis,Brucella sp.
Lama glama,1,Artiodactyla,Toxoplasmosis,Toxoplasma gondii
Mazama americana,1,Artiodactyla,Rabies,rabies virus
Mazama americana,1,Artiodactyla,Toxoplasmosis,Toxoplasma gondii 
Mazama gouazoubira,1,Artiodactyla,Anaplasmosis,Anaplasma sp.
Mazama gouazoubira,1,Artiodactyla,Ehrlichiosis - human monocytic,Ehrlichia chaffeensis
Mazama gouazoubira,1,Artiodactyla,Toxoplasmosis,Toxoplasma gondii 
Muntiacus reevesi,1,Artiodactyla,Ehrlichiosis - human monocytic,Ehrlichia chaffeensis
Odocoileus hemionus,1,Artiodactyla,Anaplasmosis,Anaplasma sp.
Odocoileus hemionus,1,Artiodactyla,Brucellosis,Brucella sp.
Odocoileus hemionus,1,Artiodactyla,California encephalitis group,California encephalitis orthobunyaviruses
Odocoileus hemionus,1,Artiodactyla,Dicrocoeliasis,Dicrocoelium dendriticum
Odocoileus hemionus,1,Artiodactyla,Echinococcosis - unilocular,Echinococcus granulosus
Odocoileus hemionus,1,Artiodactyla,Escherichia coli diarrhea,Escherichia coli
Odocoileus hemionus,1,Artiodactyla,Leptospirosis,Leptospira spp.
Odocoileus hemionus,1,Artiodactyla,Relapsing fever,Rickettsia spp.
Odocoileus virginianus,1,Artiodactyla,Anaplasmosis,Anaplasma spp.
Odocoileus virginianus,1,Artiodactyla,Anthrax,Bacillus anthracis
Odocoileus virginianus,1,Artiodactyla,Babesiosis,Babesia spp.
Odocoileus virginianus,1,Artiodactyla,Bartonellosis - other systemic,Bartonella vinsonii subsp. berkhoffii 
Odocoileus virginianus,1,Artiodactyla,Bunyaviridae infections - misc.,bunyavirus 
Odocoileus virginianus,1,Artiodactyla,California encephalitis group,California encephalitis orthobunyavirus
Odocoileus virginianus,1,Artiodactyla,Cryptosporidiosis,Cryptosporidium parvum
Odocoileus virginianus,1,Artiodactyla,Dicrocoeliasis,Dicrocoelium dendriticum
Odocoileus virginianus,1,Artiodactyla,Eastern equine encephalitis,Eastern equine encephalitis virus
Odocoileus virginianus,1,Artiodactyla,Echinococcosis - unilocular,Echinococcus canadensis
Odocoileus virginianus,1,Artiodactyla,Ehrlichiosis - human monocytic,Ehrlichia sp.
Odocoileus virginianus,1,Artiodactyla,Escherichia coli diarrhea,Escherichia coli
Odocoileus virginianus,1,Artiodactyla,Giardiasis,Giardia spp.
Odocoileus virginianus,1,Artiodactyla,Gongylonemiasis,Gongylonema sp.
Odocoileus virginianus,1,Artiodactyla,Hepatitis E,Hepatitis E virus
Odocoileus virginianus,1,Artiodactyla,Leptospirosis,Leptospira interrogans
Odocoileus virginianus,1,Artiodactyla,Listeriosis,Listeria monocytogenes
Odocoileus virginianus,1,Artiodactyla,Lyme disease,Borrelia burgdorferi
Odocoileus virginianus,1,Artiodactyla,Q-fever,Coxiella burnetii 
Odocoileus virginianus,1,Artiodactyla,Relapsing fever,Borrelia lonestari 
Odocoileus virginianus,1,Artiodactyla,Toxoplasmosis,Toxoplasma gondii
Odocoileus virginianus,1,Artiodactyla,Tuberculosis,Mycobacterium bovis
Odocoileus virginianus,1,Artiodactyla,Venezuelan equine encephalitis,Venezuelan equine encephalitis virus
Odocoileus virginianus,1,Artiodactyla,Yersiniosis,Yersinia Pseudotuberculosis
Oreamnos americanus,1,Artiodactyla,Echinococcosis - unilocular,Echinococcus granulosus
Oreamnos americanus,1,Artiodactyla,Tuberculosis,Mycobacterium tuberculosis
Oreamnos americanus,1,Artiodactyla,Fascioliasis,
Oryx beisa,1,Artiodactyla,Brucellosis,Brucella spp.
Oryx gazella,1,Artiodactyla,Anthrax,Bacillus anthracis
Oryx gazella,1,Artiodactyla,Tuberculosis,Mycobacterium bovis
Oryx leucoryx,1,Artiodactyla,Q-fever,
Oryx leucoryx,1,Artiodactyla,Tuberculosis,Mycobacterium bovis
Ovibos moschatus,1,Artiodactyla,Giardiasis,Giardia duodenalis
Ovibos moschatus,1,Artiodactyla,Orf,Orf virus
Ovis ammon,1,Artiodactyla,Toxoplasmosis,Toxoplasma gondii
Ovis aries,1,Artiodactyla,Cryptosporidiosis,Cryptosporidium parvum
Ovis aries,1,Artiodactyla,Orf,Orf virus
Ovis aries,1,Artiodactyla,Toxoplasmosis,Toxoplasma gondii
Ovis dalli,1,Artiodactyla,Orf,Orf virus
Ozotoceros bezoarticus,1,Artiodactyla,Leptospirosis,Leptospira sp.
Pecari tajacu,1,Artiodactyla,Toxoplasmosis,Toxoplasma gondii 
Phacochoerus aethiopicus,1,Artiodactyla,Trypanosomiasis - African,Trypanosoma simiae
Philantomba monticola,1,Artiodactyla,Trypanosomiasis - African,
Rangifer tarandus,1,Artiodactyla,Babesiosis,Babesia divergens
Rangifer tarandus,1,Artiodactyla,Brucellosis,Brucella sp.
Rangifer tarandus,1,Artiodactyla,Echinococcosis - unilocular,Echinococcus granulosus
Rangifer tarandus,1,Artiodactyla,Giardiasis,Giardia intestinalis
Rangifer tarandus,1,Artiodactyla,Orf,
Rangifer tarandus,1,Artiodactyla,Rabies,Rabies lyssavirus
Rangifer tarandus,1,Artiodactyla,Sarcocystosis,Sarcocystis sp.
Rangifer tarandus,1,Artiodactyla,Tick-borne encephalitis,Tick-borne encephalitis virus
Rangifer tarandus,1,Artiodactyla,Toxoplasmosis,Toxoplasma gondii
Redunca redunca,1,Artiodactyla,Trypanosomiasis - African,Trypanosoma congolense
Rupicapra pyrenaica,1,Artiodactyla,Brucellosis,Brucella sp.
Rupicapra pyrenaica,1,Artiodactyla,Lyme disease,Borrelia sp.
Rupicapra pyrenaica,1,Artiodactyla,Spotted fevers - Old World,Rickettsia helvetica
Rupicapra pyrenaica,1,Artiodactyla,Toxoplasmosis,Toxoplasma gondii
Rupicapra rupicapra,1,Artiodactyla,Anaplasmosis,Anaplasma phagocytophilum
Rupicapra rupicapra,1,Artiodactyla,Babesiosis,Babesia sp.
Rupicapra rupicapra,1,Artiodactyla,Brucellosis,Brucella sp.
Rupicapra rupicapra,1,Artiodactyla,Leptospirosis,Leptospira sp.
Rupicapra rupicapra,1,Artiodactyla,Lyme disease,
Rupicapra rupicapra,1,Artiodactyla,Orf,Orf virus
Rupicapra rupicapra,1,Artiodactyla,Toxoplasmosis,Toxoplasma gondii
Rusa timorensis,1,Artiodactyla,Leptospirosis,Leptospira sp.
Sus scrofa,1,Artiodactyla,Anaplasmosis,Anaplasma spp.
Sus scrofa,1,Artiodactyla,Anthrax,Bacillus anthracis
Sus scrofa,1,Artiodactyla,Balantidiasis,Balantidium coli
Sus scrofa,1,Artiodactyla,Brucellosis,Brucella sp.
Sus scrofa,1,Artiodactyla,Campylobacteriosis,Campylobacter spp.
Sus scrofa,1,Artiodactyla,Crimean-Congo hemorrhagic fever,Erve virus
Sus scrofa,1,Artiodactyla,Cryptosporidiosis,Cryptosporidium parvum
Sus scrofa,1,Artiodactyla,Echinococcosis - multilocular,†Echinococcus multilocularis
Sus scrofa,1,Artiodactyla,Echinococcosis - unilocular,Echinococcus granulosis
Sus scrofa,1,Artiodactyla,Fascioliasis,Fasciola spp.
Sus scrofa,1,Artiodactyla,Giardiasis,Giardia sp.
Sus scrofa,1,Artiodactyla,Gnathostomiasis,Gnathostoma doloresi
Sus scrofa,1,Artiodactyla,Gongylonemiasis,Gongylonema pulchrum
Sus scrofa,1,Artiodactyla,Hepatitis E,hepatitis E virus
Sus scrofa,1,Artiodactyla,Japanese encephalitis,Japanese encephalitis virus
Sus scrofa,1,Artiodactyla,Leptospirosis,Leptospira sp.
Sus scrofa,1,Artiodactyla,Listeriosis,Listeria monocytogenes
Sus scrofa,1,Artiodactyla,Paracoccidioidomycosis,Paracoccidioides brasiliensis
Sus scrofa,1,Artiodactyla,Q-fever,Coxiella burnetii 
Sus scrofa,1,Artiodactyla,Salmonellosis,Salmonella sp.
Sus scrofa,1,Artiodactyla,Toxoplasmosis,Toxoplasma gondii
Sus scrofa,1,Artiodactyla,Trichinosis,
Sus scrofa,1,Artiodactyla,Trichostrongyliasis,Trichostrongylus colubriformis
Sus scrofa,1,Artiodactyla,Tuberculosis,Mycobacterium bovis
Sus scrofa,1,Artiodactyla,Tularemia,Francisella tularensis 
Sus scrofa,1,Artiodactyla,Venezuelan equine encephalitis,
Sus scrofa,1,Artiodactyla,Yersiniosis,Yersinia pseudotuberculosis
Syncerus caffer,1,Artiodactyla,Brucellosis,Brucella sp.
Syncerus caffer,1,Artiodactyla,Chikungunya,chikungunya virus
Syncerus caffer,1,Artiodactyla,Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever virus
Syncerus caffer,1,Artiodactyla,Cryptosporidiosis,Cryptosporidium sp.
Syncerus caffer,1,Artiodactyla,Echinococcosis - unilocular,Echinococcus sp.
Syncerus caffer,1,Artiodactyla,Giardiasis,Giardia sp.
Syncerus caffer,1,Artiodactyla,Leptospirosis,Leptospira interrogans
Syncerus caffer,1,Artiodactyla,Pentastomiasis - Armillifer,Armillifer Sp.
Syncerus caffer,1,Artiodactyla,Pentastomiasis - Linguatula,Linguatula Sp.
Syncerus caffer,1,Artiodactyla,Rift Valley fever,Rift Valley fever virus
Syncerus caffer,1,Artiodactyla,Tuberculosis,Mycobacterium bovis
Syncerus caffer,1,Artiodactyla,West Nile fever,West Nile virus
Taurotragus oryx,1,Artiodactyla,Brucellosis,Brucella spp.
Taurotragus oryx,1,Artiodactyla,Crimean-Congo hemorrhagic fever,Brucella sp.
Tayassu pecari,1,Artiodactyla,Leptospirosis,Leptospira sp. 
Tayassu pecari,1,Artiodactyla,Toxoplasmosis,Toxoplasma gondii
Tragelaphus angasii,1,Artiodactyla,Schistosomiasis - mattheei,Schistosoma mattheei
Tragelaphus angasii,1,Artiodactyla,Toxoplasmosis,Toxoplasma gondii
Tragelaphus scriptus,1,Artiodactyla,Trypanosomiasis - African,Trypanosoma sp.
Tragelaphus strepsiceros,1,Artiodactyla,Anthrax,Bacillus anthracis
Tragelaphus strepsiceros,1,Artiodactyla,Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever virus
Tragelaphus strepsiceros,1,Artiodactyla,Rabies,Rabies virus
Tragelaphus strepsiceros,1,Artiodactyla,Schistosomiasis - mattheei,Schistosoma mattheei
Tragelaphus strepsiceros,1,Artiodactyla,Toxoplasmosis,Toxoplasma gondii
Tragelaphus strepsiceros,1,Artiodactyla,Trypanosomiasis - African,Trypanosoma sp.
Tragelaphus strepsiceros,1,Artiodactyla,Tuberculosis,Mycobacterium bovis
Tragelaphus strepsiceros,1,Artiodactyla,Pentastomiasis - Armillifer,Armillifer Sp.
Tragelaphus strepsiceros,1,Artiodactyla,Pentastomiasis - Linguatula,Linguatula Sp.
Vicugna vicugna,1,Artiodactyla,Blastomycosis,
Vicugna vicugna,1,Artiodactyla,Coccidioidomycosis,
Vicugna vicugna,1,Artiodactyla,Cryptosporidiosis,
Vicugna vicugna,1,Artiodactyla,Fascioliasis,Fasciola sp.
Vicugna vicugna,1,Artiodactyla,Giardiasis,
Vicugna vicugna,1,Artiodactyla,Vaccinia and cowpox,
Damaliscus lunatus,1,Artiodactyla,Pentastomiasis - Armillifer,Armillifer Sp.
Damaliscus lunatus,1,Artiodactyla,Pentastomiasis - Linguatula,Linguatula Sp.
Hippotragus equinus,1,Artiodactyla,Trypanosomiasis - African,Trypanosoma sp.
Alcelaphus caama,0,Artiodactyla,,
Alcelaphus lichtensteinii,0,Artiodactyla,,
Ammodorcas clarkei,0,Artiodactyla,,
Antilope cervicapra,0,Artiodactyla,,
Axis calamianensis,0,Artiodactyla,,
Axis kuhlii,0,Artiodactyla,,
Axis porcinus,0,Artiodactyla,,
Babyrousa babyrussa,0,Artiodactyla,,
Babyrousa bolabatuensis,0,Artiodactyla,,
Babyrousa celebensis,0,Artiodactyla,,
Babyrousa togeanensis,0,Artiodactyla,,
Bos sauveli,0,Artiodactyla,,
Bubalus depressicornis,0,Artiodactyla,,
Bubalus mindorensis,0,Artiodactyla,,
Bubalus quarlesi,0,Artiodactyla,,
Capra caucasica,0,Artiodactyla,,
Capra walie,0,Artiodactyla,,
Capreolus pygargus,0,Artiodactyla,,
Capricornis milneedwardsii,0,Artiodactyla,,
Capricornis rubidus,0,Artiodactyla,,
Capricornis sumatraensis,0,Artiodactyla,,
Capricornis swinhoei,0,Artiodactyla,,
Capricornis thar,0,Artiodactyla,,
Catagonus wagneri,0,Artiodactyla,,
Cephalophus adersi,0,Artiodactyla,,
Cephalophus brookei,0,Artiodactyla,,
Cephalophus callipygus,0,Artiodactyla,,
Cephalophus jentinki,0,Artiodactyla,,
Cephalophus leucogaster,0,Artiodactyla,,
Cephalophus natalensis,0,Artiodactyla,,
Cephalophus niger,0,Artiodactyla,,
Cephalophus nigrifrons,0,Artiodactyla,,
Cephalophus ogilbyi,0,Artiodactyla,,
Cephalophus rufilatus,0,Artiodactyla,,
Cephalophus silvicultor,0,Artiodactyla,,
Cephalophus spadix,0,Artiodactyla,,
Cephalophus weynsi,0,Artiodactyla,,
Cephalophus zebra,0,Artiodactyla,,
Connochaetes gnou,0,Artiodactyla,,
Damaliscus korrigum,0,Artiodactyla,,
Damaliscus pygargus,0,Artiodactyla,,
Damaliscus superstes,0,Artiodactyla,,
Dorcatragus megalotis,0,Artiodactyla,,
Elaphodus cephalophus,0,Artiodactyla,,
Elaphurus davidianus,0,Artiodactyla,,
Eudorcas rufifrons,0,Artiodactyla,,
Eudorcas rufina,0,Artiodactyla,,
Eudorcas thomsonii,0,Artiodactyla,,
Gazella arabica,0,Artiodactyla,,
Gazella bennettii,0,Artiodactyla,,
Gazella cuvieri,0,Artiodactyla,,
Gazella erlangeri,0,Artiodactyla,,
Gazella leptoceros,0,Artiodactyla,,
Gazella saudiya,0,Artiodactyla,,
Gazella spekei,0,Artiodactyla,,
Gazella subgutturosa,0,Artiodactyla,,
Hemitragus hylocrius,0,Artiodactyla,,
Hemitragus jayakari,0,Artiodactyla,,
Hemitragus jemlahicus,0,Artiodactyla,,
Hexaprotodon liberiensis,0,Artiodactyla,,
Hippocamelus antisensis,0,Artiodactyla,,
Hippocamelus bisulcus,0,Artiodactyla,,
Hippotragus leucophaeus,0,Artiodactyla,,
Hyemoschus aquaticus,0,Artiodactyla,,
Hylochoerus meinertzhageni,0,Artiodactyla,,
Kobus megaceros,0,Artiodactyla,,
Kobus vardonii,0,Artiodactyla,,
Litocranius walleri,0,Artiodactyla,,
Madoqua guentheri,0,Artiodactyla,,
Madoqua kirkii,0,Artiodactyla,,
Madoqua piacentinii,0,Artiodactyla,,
Madoqua saltiana,0,Artiodactyla,,
Mazama bororo,0,Artiodactyla,,
Mazama bricenii,0,Artiodactyla,,
Mazama chunyi,0,Artiodactyla,,
Mazama nana,0,Artiodactyla,,
Mazama pandora,0,Artiodactyla,,
Mazama rufina,0,Artiodactyla,,
Mazama temama,0,Artiodactyla,,
Moschiola meminna,0,Artiodactyla,,
Moschus anhuiensis,0,Artiodactyla,,
Moschus berezovskii,0,Artiodactyla,,
Moschus chrysogaster,0,Artiodactyla,,
Moschus cupreus,0,Artiodactyla,,
Moschus fuscus,0,Artiodactyla,,
Moschus leucogaster,0,Artiodactyla,,
Moschus moschiferus,0,Artiodactyla,,
Muntiacus atherodes,0,Artiodactyla,,
Muntiacus crinifrons,0,Artiodactyla,,
Muntiacus feae,0,Artiodactyla,,
Muntiacus gongshanensis,0,Artiodactyla,,
Muntiacus muntjak,0,Artiodactyla,,
Muntiacus puhoatensis,0,Artiodactyla,,
Muntiacus putaoensis,0,Artiodactyla,,
Muntiacus rooseveltorum,0,Artiodactyla,,
Muntiacus truongsonensis,0,Artiodactyla,,
Muntiacus vuquangensis,0,Artiodactyla,,
Naemorhedus baileyi,0,Artiodactyla,,
Naemorhedus caudatus,0,Artiodactyla,,
Naemorhedus goral,0,Artiodactyla,,
Naemorhedus griseus,0,Artiodactyla,,
Nanger dama,0,Artiodactyla,,
Nanger granti,0,Artiodactyla,,
Nanger soemmerringii,0,Artiodactyla,,
Neotragus batesi,0,Artiodactyla,,
Neotragus moschatus,0,Artiodactyla,,
Neotragus pygmaeus,0,Artiodactyla,,
Okapia johnstoni,0,Artiodactyla,,
Oreotragus oreotragus,0,Artiodactyla,,
Oryx dammah,0,Artiodactyla,,
Ourebia ourebi,0,Artiodactyla,,
Ovis nivicola,0,Artiodactyla,,
Pantholops hodgsonii,0,Artiodactyla,,
Phacochoerus africanus,0,Artiodactyla,,
Potamochoerus larvatus,0,Artiodactyla,,
Potamochoerus porcus,0,Artiodactyla,,
Procapra gutturosa,0,Artiodactyla,,
Procapra picticaudata,0,Artiodactyla,,
Procapra przewalskii,0,Artiodactyla,,
Pseudois nayaur,0,Artiodactyla,,
Pseudois schaeferi,0,Artiodactyla,,
Pseudoryx nghetinhensis,0,Artiodactyla,,
Pudu mephistophiles,0,Artiodactyla,,
Pudu puda,0,Artiodactyla,,
Raphicerus campestris,0,Artiodactyla,,
Raphicerus melanotis,0,Artiodactyla,,
Raphicerus sharpei,0,Artiodactyla,,
Redunca arundinum,0,Artiodactyla,,
Redunca fulvorufula,0,Artiodactyla,,
Rusa alfredi,0,Artiodactyla,,
Rusa marianna,0,Artiodactyla,,
Rusa unicolor,0,Artiodactyla,,
Saiga borealis,0,Artiodactyla,,
Saiga tatarica,0,Artiodactyla,,
Sus ahoenobarbus,0,Artiodactyla,,
Sus barbatus,0,Artiodactyla,,
Sus bucculentus,0,Artiodactyla,,
Sus cebifrons,0,Artiodactyla,,
Sus celebensis,0,Artiodactyla,,
Sus oliveri,0,Artiodactyla,,
Sus philippensis,0,Artiodactyla,,
Sus salvanius,0,Artiodactyla,,
Sus verrucosus,0,Artiodactyla,,
Sylvicapra grimmia,0,Artiodactyla,,
Taurotragus derbianus,0,Artiodactyla,,
Tetracerus quadricornis,0,Artiodactyla,,
Tragelaphus buxtoni,0,Artiodactyla,,
Tragelaphus eurycerus,0,Artiodactyla,,
Tragelaphus imberbis,0,Artiodactyla,,
Tragelaphus spekii,0,Artiodactyla,,
Tragulus javanicus,0,Artiodactyla,,
Tragulus kanchil,0,Artiodactyla,,
Tragulus napu,0,Artiodactyla,,
Tragulus nigricans,0,Artiodactyla,,
Tragulus versicolor,0,Artiodactyla,,
Tragulus williamsoni,0,Artiodactyla,,
Equus hemionus,0,Perissodactyla,,
Equus zebra,0,Perissodactyla,,
Ceratotherium simum,1,Perissodactyla,Rift Valley fever,Rift Valley fever virus
Diceros bicornis,1,Perissodactyla,Coccidioidomycosis,Coccidioides immitis
Diceros bicornis,1,Perissodactyla,Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever virus 
Diceros bicornis,1,Perissodactyla,Rift Valley fever,Rift Valley fever virus
Diceros bicornis,1,Perissodactyla,Tuberculosis,Mycobacterium bovis
Equus asinus,1,Perissodactyla,Anthrax,Bacillus anthracis
Equus asinus,1,Perissodactyla,Echinococcosis - unilocular,Giardia intestinalis
Equus asinus,1,Perissodactyla,Leishmaniasis - cutaneous,Leishmania
Equus asinus,1,Perissodactyla,Toxoplasmosis,Toxoplasma gondii
Equus caballus,1,Perissodactyla,Leishmaniasis - cutaneous,Leishmania sp.
Equus caballus,1,Perissodactyla,Leishmaniasis - visceral,
Equus caballus,1,Perissodactyla,Ross River disease,Ross River virus
Equus caballus,1,Perissodactyla,Toxoplasmosis,Toxoplasma gondii
Equus caballus,1,Perissodactyla,West Nile fever,West Nile virus
Equus grevyi,1,Perissodactyla,Anthrax,Bacillus anthracis
Rhinoceros unicornis,1,Perissodactyla,Anthrax,Bacillus anthracis 
Tapirus terrestris,1,Perissodactyla,Toxoplasmosis,Toxoplasma gondii
Equus burchellii,1,Perissodactyla,Echinococcosis - unilocular,Echinococcus granulosus 
Equus burchellii,1,Perissodactyla,Anthrax,Bacillus anthracis
Equus burchellii,1,Perissodactyla,Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever (CCHF) virus
Equus quagga (=Equus burchellii),1,Perissodactyla,Anthrax,
Dicerorhinus sumatrensis,0,Perissodactyla,,
Equus kiang,0,Perissodactyla,,
Rhinoceros sondaicus,0,Perissodactyla,,
Tapirus bairdii,0,Perissodactyla,,
Tapirus indicus,0,Perissodactyla,,
Tapirus pinchaque,0,Perissodactyla,,
Allenopithecus nigroviridis,0,Primates,,
Allocebus trichotis,0,Primates,,
Alouatta belzebul,1,Primates,Toxoplasmosis,Toxoplasma gondii
Alouatta caraya,1,Primates,Giardiasis,Giardia intestinalis
Alouatta caraya,1,Primates,Leptospirosis,Leptospira interrogans
Alouatta caraya,1,Primates,St. Louis encephalitis,Flavivirus St. Louis encephalitis virus
Alouatta caraya,1,Primates,Toxoplasmosis,Toxoplasma gondii
Alouatta caraya,1,Primates,Vaccinia and cowpox,Orthopoxvirus sp.
Alouatta caraya,1,Primates,Yellow fever,Flavivirus Yellow fever virus
Alouatta coibensis,0,Primates,,
Alouatta guariba,1,Primates,Leishmaniasis - visceral,Leishmania donovani
Alouatta macconnelli,0,Primates,,
Alouatta nigerrima,0,Primates,,
Alouatta palliata,1,Primates,Ascariasis,Ascaris lumbricoides
Alouatta palliata,1,Primates,Leishmaniasis - cutaneous,Leishmania mexicana
Alouatta palliata,1,Primates,Trypanosomiasis - American,Trypanosoma cruzi
Alouatta pigra,1,Primates,Giardiasis,Giardia intestinalis
Alouatta pigra,1,Primates,Leishmaniasis - cutaneous,Leishmania mexicana
Alouatta pigra,1,Primates,Trypanosomiasis - American,Trypanosoma cruzi
Alouatta sara,0,Primates,,
Alouatta seniculus,1,Primates,Mayaro,Alphavirus Mayaro virus
Alouatta seniculus,1,Primates,Yellow fever,Flavivirus Yellow fever virus
Aotus azarae,0,Primates,,
Aotus hershkovitzi,0,Primates,,
Aotus lemurinus,0,Primates,,
Aotus miconax,0,Primates,,
Aotus nancymaae,0,Primates,,
Aotus nigriceps,1,Primates,Leishmaniasis - visceral,Leishmania donovani
Aotus trivirgatus,1,Primates,Leishmaniasis - cutaneous,Leishmania braziliensis
Aotus trivirgatus,1,Primates,Leishmaniasis - mucocutaneous,Leishmania braziliensis
Aotus vociferans,0,Primates,,
Arctocebus aureus,0,Primates,,
Arctocebus calabarensis,0,Primates,,
Ateles belzebuth,0,Primates,,
Ateles chamek,0,Primates,,
Ateles fusciceps,0,Primates,,
Ateles geoffroyi,1,Primates,Echinococcosis - multilocular,Echinococcus multilocularis
Ateles hybridus,0,Primates,,
Ateles marginatus,0,Primates,,
Ateles paniscus,1,Primates,Leishmaniasis - cutaneous,Leishmania amazoensis
Avahi laniger,0,Primates,,
Avahi occidentalis,0,Primates,,
Avahi unicolor,0,Primates,,
Brachyteles arachnoides,1,Primates,Toxoplasmosis,Toxoplasma gondii
Brachyteles hypoxanthus,0,Primates,,
Bunopithecus hoolock,0,Primates,,
Cacajao calvus,0,Primates,,
Cacajao melanocephalus,0,Primates,,
Callicebus baptista,0,Primates,,
Callicebus barbarabrownae,0,Primates,,
Callicebus bernhardi,0,Primates,,
Callicebus brunneus,0,Primates,,
Callicebus caligatus,0,Primates,,
Callicebus cinerascens,0,Primates,,
Callicebus coimbrai,0,Primates,,
Callicebus cupreus,0,Primates,,
Callicebus discolor,0,Primates,,
Callicebus donacophilus,0,Primates,,
Callicebus dubius,0,Primates,,
Callicebus hoffmannsi,0,Primates,,
Callicebus lucifer,0,Primates,,
Callicebus lugens,0,Primates,,
Callicebus medemi,0,Primates,,
Callicebus melanochir,0,Primates,,
Callicebus modestus,0,Primates,,
Callicebus moloch,0,Primates,,
Callicebus nigrifrons,1,Primates,Leishmaniasis - visceral,Leishmania sp.
Callicebus oenanthe,1,Primates,Bertiella and Inermicapsifer,Bertiella sp.
Callicebus olallae,0,Primates,,
Callicebus ornatus,0,Primates,,
Callicebus pallescens,0,Primates,,
Callicebus personatus,0,Primates,,
Callicebus purinus,0,Primates,,
Callicebus regulus,0,Primates,,
Callicebus stephennashi,0,Primates,,
Callicebus torquatus,0,Primates,,
Callimico goeldii,0,Primates,,
Callithrix acariensis,0,Primates,,
Callithrix argentata,0,Primates,,
Callithrix aurita,0,Primates,,
Callithrix chrysoleuca,0,Primates,,
Callithrix emiliae,0,Primates,,
Callithrix flaviceps,0,Primates,,
Callithrix humeralifera,0,Primates,,
Callithrix humilis,0,Primates,,
Callithrix intermedia,0,Primates,,
Callithrix jacchus,1,Primates,Gongylonemiasis,Gongylonema pulchrum
Callithrix jacchus,1,Primates,Rabies,Lyssavirus Rabies lyssavirus
Callithrix jacchus,1,Primates,Tularemia,Francisella tularensis
Callithrix kuhlii,0,Primates,,
Callithrix leucippe,0,Primates,,
Callithrix manicorensis,0,Primates,,
Callithrix marcai,0,Primates,,
Callithrix mauesi,0,Primates,,
Callithrix melanura,0,Primates,,
Callithrix nigriceps,0,Primates,,
Callithrix penicillata,1,Primates,Toxoplasmosis,Toxoplasma gondii
Callithrix pygmaea,0,Primates,,
Callithrix saterei,0,Primates,,
Cebus albifrons,0,Primates,,
Cebus apella,1,Primates,Leishmaniasis - cutaneous,Leishmania sp.
Cebus apella,1,Primates,Leptospirosis,Leptospira sp.
Cebus apella,1,Primates,Rabies,Lyssavirus Rabies lyssavirus
Cebus apella,1,Primates,Toxoplasmosis,Toxoplasma gondii
Cebus apella,1,Primates,Tuberculosis,Mycobacterium tuberculosis
Cebus apella,1,Primates,Vaccinia and cowpox,Orthopoxvirus sp.
Cebus apella,1,Primates,Yellow fever,Flavivirus Yellow fever virus
Cebus capucinus,1,Primates,Tuberculosis,Mycobacterium tuberculosis
Cebus kaapori,0,Primates,,
Cebus libidinosus,1,Primates,Toxoplasmosis,Toxoplasma gondii
Cebus nigritus,1,Primates,Rabies,Lyssavirus Rabies lyssavirus
Cebus olivaceus,0,Primates,,
Cebus xanthosternos,1,Primates,Leishmaniasis - visceral,Leishmania sp.
Cercocebus atys,1,Primates,Monkeypox,Orthopoxvirus Monkeypox virus
Cercocebus atys,1,Primates,Tuberculosis,Mycobacterium tuberculosis
Cercocebus atys,1,Primates,West Nile fever,Flavivirus West Nile virus
Cercocebus torquatus,1,Primates,Trypanosomiasis - African,Trypanosoma brucei gambiense
Cercopithecus albogularis,0,Primates,,
Cercopithecus ascanius,1,Primates,Cryptosporidiosis,Cryptosporidium sp.
Cercopithecus ascanius,1,Primates,Giardiasis,Giardia sp
Cercopithecus campbelli,0,Primates,,
