ParasiteCorrectedName_Zooscores_VR_Ver5.0_Final,ParasiteCorrectedName.updated,ParasiteReportedName,XC_ZooScore,Type,ParPhylum,ParClass,ParOrder,ParFamily,intra_extra,spec_confd_int,ref_int,site_raw,site_system,spec_confd_site,ref_site,geo_dist,spec_confd_geo,ref_geo,dom_host,spec_confd_dom_host,ref_dom_host,dom_hostname,spec_confd_dom_hostname,ref_dom_hostname,flagella,spec_confd_flag,ref_flag,cyst,spec_confd_cyst,ref_cyst,sexual,spec_confd_sex,ref_sex,transmission,spec_confd_trans,ref_trans,other_host,spec_confd_other,ref_other,note
Trichomonas intestinalis,Trichomonas intestinalis,Trichomonas intestinalis,0,Flagellate,Metamonada,Parabasalia,Trichomonadida,Trichomonadidae,0,genus,Vaccaro 2000,"GU, gut, mouth",digestive,genus,"Vaccaro 2000, Gutteridge & Coombs 1977",worldwide,genus,Gutteridge & Coombs 1977 pg. 5,,,,,,,yes,,Gutteridge & Coombs 1977,,,,,,,direct contact,,Vaccaro 2000,,,,
Troglocorys cava,Troglocorys cava,Troglocorys cava,-1,Ciliate,Ciliophora,Litostomatea,Entodiniomorphida,Blepharocorythidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troglodytella abrassarti,Troglodytella abrassarti,Troglodytella abrassarti,-1,Ciliate,Ciliophora,Litostomatea,Entodiniomorphida,Troglodytellidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trypanosoma brimonti,Trypanosoma brimonti,Trypanosoma  brimonti,-1,Flagellate,Euglenozoa,Kinetoplastea,Trypanosomatida,Trypanosomatidae,0,genus,Vaccaro 2000,"blood, muscle of heart and gut","circulatory, muscular, digestive",genus,"Vaccaro 2000, Gutteridge & Coombs 1977","tropics, South America",genus,Gutteridge & Coombs 1977 pg. 5,,,,,,,yes,genus,"Aikawa & Sterling 1974, Gutteridge & Coombs 1977",no,genus,CDC,no,genus,Gibson 2001,insect vector,genus,Wikipedia,,,,
Trypanosoma brucei,Trypanosoma brucei,Trypanosoma brucei brucei,1,Flagellate,Euglenozoa,Kinetoplastea,Trypanosomatida,Trypanosomatidae,0,genus,Vaccaro 2000,"blood, muscle of heart and gut","circulatory, muscular, digestive",genus,"Vaccaro 2000, Gutteridge & Coombs 1977","tropics, South America",genus,Gutteridge & Coombs 1977 pg. 5,yes,species,Gutteridge & Coombs 1977,"game animals, cattle",species,Gutteridge & Coombs 1977,yes,genus,"Aikawa & Sterling 1974, Gutteridge & Coombs 1977",no,genus,CDC,yes,species,Gibson 2001,insect vector,genus,Wikipedia,,,,
Trypanosoma cervi,Trypanosoma cervi,Trypanosoma cervi,-1,Flagellate,Euglenozoa,Kinetoplastea,Trypanosomatida,Trypanosomatidae,0,genus,Vaccaro 2000,"blood, muscle of heart and gut","circulatory, muscular, digestive",genus,"Vaccaro 2000, Gutteridge & Coombs 1977","tropics, South America",genus,Gutteridge & Coombs 1977 pg. 5,,,,,,,yes,genus,"Aikawa & Sterling 1974, Gutteridge & Coombs 1977",no,genus,CDC,no,genus,Gibson 2001,insect vector,genus,Wikipedia,,,,
Trypanosoma congolense,Trypanosoma congolense,Trypanosoma congolense,-1,Flagellate,Euglenozoa,Kinetoplastea,Trypanosomatida,Trypanosomatidae,0,genus,Vaccaro 2000,"blood, muscle of heart and gut","circulatory, muscular, digestive",genus,"Vaccaro 2000, Gutteridge & Coombs 1977","tropics, South America",genus,Gutteridge & Coombs 1977 pg. 5,yes,species,Gutteridge & Coombs 1977,"game animals, cattle",species,Gutteridge & Coombs 1977,yes,genus,"Aikawa & Sterling 1974, Gutteridge & Coombs 1977",no,genus,CDC,no,genus,Gibson 2001,insect vector,genus,Wikipedia,,,,
Trypanosoma cruzi,Trypanosoma cruzi,Trypanosomes cruzi,3,Flagellate,Euglenozoa,Kinetoplastea,Trypanosomatida,Trypanosomatidae,0,genus,Vaccaro 2000,"blood, muscle of heart and gut","circulatory, muscular, digestive",genus,"Vaccaro 2000, Gutteridge & Coombs 1977","tropics, South America",genus,Gutteridge & Coombs 1977 pg. 5,,,,,,,yes,genus,"Aikawa & Sterling 1974, Gutteridge & Coombs 1977",no,species,CDC,no,genus,Gibson 2001,insect vector,genus,Wikipedia,,,,
Trypanosoma cyclops,Trypanosoma cyclops,Trypanosoma cyclops,-1,Flagellate,Euglenozoa,Kinetoplastea,Trypanosomatida,Trypanosomatidae,0,genus,Vaccaro 2000,"blood, muscle of heart and gut","circulatory, muscular, digestive",genus,"Vaccaro 2000, Gutteridge & Coombs 1977","tropics, South America",genus,Gutteridge & Coombs 1977 pg. 5,,,,,,,yes,genus,"Aikawa & Sterling 1974, Gutteridge & Coombs 1977",no,genus,CDC,no,genus,Gibson 2001,insect vector,genus,Wikipedia,,,,
Trypanosoma devei,Trypanosoma devei,Trypanosomes devei,-1,Flagellate,Euglenozoa,Kinetoplastea,Trypanosomatida,Trypanosomatidae,0,genus,Vaccaro 2000,"blood, muscle of heart and gut","circulatory, muscular, digestive",genus,"Vaccaro 2000, Gutteridge & Coombs 1977","tropics, South America",genus,Gutteridge & Coombs 1977 pg. 5,,,,,,,yes,genus,"Aikawa & Sterling 1974, Gutteridge & Coombs 1977",no,genus,CDC,no,genus,Gibson 2001,insect vector,genus,Wikipedia,,,,
