ParasiteCorrectedName_Zooscores_VR_Ver5.0_Final,ParasiteCorrectedName.updated,ParasiteReportedName,XC_ZooScore,Type,ParPhylum,ParClass,ParOrder,ParFamily,intra_extra,spec_confd_int,ref_int,site_raw,site_system,spec_confd_site,ref_site,geo_dist,spec_confd_geo,ref_geo,dom_host,spec_confd_dom_host,ref_dom_host,dom_hostname,spec_confd_dom_hostname,ref_dom_hostname,flagella,spec_confd_flag,ref_flag,cyst,spec_confd_cyst,ref_cyst,sexual,spec_confd_sex,ref_sex,transmission,spec_confd_trans,ref_trans,other_host,spec_confd_other,ref_other,note
Babesia bicornis,Babesia bicornis,Babesia bicornia,-1,Sporozoan,Apicomplexa,Aconoidasida,Achromatorida,Babesiidae,1,species,Aikawa & Sterling 1974 pg. 54,red blood cells,circulatory,species,"Aikawa & Sterling 1974 pg. 54, Levine 1985 pg. 317",worldwide,genus,"Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 317",yes,genus,"Aikawa & Sterling 1974 pg. 54, Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 317","cattle, sheep, goats, horses, dogs, rodents",genus,Aikawa & Sterling 1974 pg. 54,no,species,Levine 1985 pg. 317,NF,NA,NA,no,class,Levine 1985 pg. 317,ticks,species,,NF,NA,NA,needs two hosts to complete transmission
Babesia bigemina,Babesia bigemina,Babesia bigemina,-1,Sporozoan,Apicomplexa,Aconoidasida,Achromatorida,Babesiidae,1,species,Aikawa & Sterling 1974 pg. 54,red blood cells,circulatory,species,"Aikawa & Sterling 1974 pg. 54, Levine 1985 pg. 323","worldwide; Central America, South America, Europe, Middle East, North Africa, Central Africa, South Africa, Australia, North America","genus, species","Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 323",yes,species,"Aikawa & Sterling 1974 pg. 54, Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 323","cattle, sheep, goats, horses; cattle, ox, water buffalo",species,Levine 1985 pg. 323,no,species,Levine 1985 pg. 317,NF,NA,NA,no,class,Levine 1985 pg. 317,ticks,species,,"ox, zebu, water buffalo, African baffalo, and certain deer",species,Levine 1985 pg. 296,needs two hosts to complete transmission
Babesia bovis,Babesia bovis,Babesia bovis,-1,Sporozoan,Apicomplexa,Aconoidasida,Achromatorida,Babesiidae,1,species,Aikawa & Sterling 1974 pg. 54,red blood cells,circulatory,species,"Aikawa & Sterling 1974 pg. 54, Levine 1985 pg. 317",worldwide,genus,"Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 317",yes,species,"Aikawa & Sterling 1974 pg. 54, Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 317",cattle,species,Levine pg. 325,no,species,Levine 1985 pg. 317,NF,NA,NA,no,class,Levine 1985 pg. 317,ticks,species,,"roe deer, red deer",species,Levine 1985 pg. 323,needs two hosts to complete transmission
Babesia cellii,Babesia cellii,Babesia cellii,-1,Sporozoan,Apicomplexa,Aconoidasida,Achromatorida,Babesiidae,1,species,Aikawa & Sterling 1974 pg. 54,red blood cells,circulatory,species,"Aikawa & Sterling 1974 pg. 54, Levine 1985 pg. 317",worldwide,genus,"Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 317",yes,genus,"Aikawa & Sterling 1974 pg. 54, Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 317","cattle, sheep, goats, horses, dogs, rodents",genus,Aikawa & Sterling 1974 pg. 54,no,species,Levine 1985 pg. 317,NF,NA,NA,no,class,Levine 1985 pg. 317,ticks,species,,NF,NA,NA,needs two hosts to complete transmission
Babesia cynicti,Babesia cynicti,Babesia cynicti,-1,Sporozoan,Apicomplexa,Aconoidasida,Achromatorida,Babesiidae,1,species,Aikawa & Sterling 1974 pg. 54,red blood cells,circulatory,species,"Aikawa & Sterling 1974 pg. 54, Levine 1985 pg. 317",worldwide,genus,"Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 317",yes,genus,"Aikawa & Sterling 1974 pg. 54, Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 317","cattle, sheep, goats, horses, dogs, rodents",genus,Aikawa & Sterling 1974 pg. 54,no,species,Levine 1985 pg. 317,NF,NA,NA,no,class,Levine 1985 pg. 317,ticks,species,,NF,NA,NA,needs two hosts to complete transmission
Babesia divergens,Babesia divergens,Babesia divergens,0,Sporozoan,Apicomplexa,Aconoidasida,Achromatorida,Babesiidae,1,species,Aikawa & Sterling 1974 pg. 54,red blood cells,circulatory,species,"Aikawa & Sterling 1974 pg. 54, Levine 1985 pg. 317","Westerm Europe, Central Europe",species,Levine 1985 pg. 326,yes,species,Levine 1985 pg. 326,cattle,species,Levine 1985 pg. 326,no,species,Levine 1985 pg. 317,NF,NA,NA,no,class,Levine 1985 pg. 317,ticks,species,,NF,NA,NA,needs two hosts to complete transmission
Babesia equi,Babesia equi,Babesia equi,-1,Sporozoan,Apicomplexa,Aconoidasida,Achromatorida,Babesiidae,1,species,Aikawa & Sterling 1974 pg. 54,red blood cells,circulatory,species,"Aikawa & Sterling 1974 pg. 54, Levine 1985 pg. 317",worldwide,genus,"Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 317",yes,genus,"Aikawa & Sterling 1974 pg. 54, Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 317","cattle, sheep, goats, horses, dogs, rodents",genus,Aikawa & Sterling 1974 pg. 54,no,species,Levine 1985 pg. 317,NF,NA,NA,no,class,Levine 1985 pg. 317,ticks,species,,NF,NA,NA,needs two hosts to complete transmission
Babesia lotori,Babesia lotori,Babesia lotori,-1,Sporozoan,Apicomplexa,Aconoidasida,Achromatorida,Babesiidae,1,species,Aikawa & Sterling 1974 pg. 54,red blood cells,circulatory,species,"Aikawa & Sterling 1974 pg. 54, Levine 1985 pg. 317",worldwide,genus,"Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 317",yes,genus,"Aikawa & Sterling 1974 pg. 54, Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 317","cattle, sheep, goats, horses, dogs, rodents",genus,Aikawa & Sterling 1974 pg. 54,no,species,Levine 1985 pg. 317,NF,NA,NA,no,class,Levine 1985 pg. 317,ticks,species,,NF,NA,NA,needs two hosts to complete transmission
Babesia microti,Babesia microti,Babesia microti,0,Sporozoan,Apicomplexa,Aconoidasida,Achromatorida,Babesiidae,1,species,Aikawa & Sterling 1974 pg. 54,red blood cells,circulatory,species,"Aikawa & Sterling 1974 pg. 54, Levine 1985 pg. 317",worldwide,genus,"Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 317",yes,genus,"Aikawa & Sterling 1974 pg. 54, Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 317","cattle, sheep, goats, horses, dogs, rodents",genus,Aikawa & Sterling 1974 pg. 54,no,species,Levine 1985 pg. 317,NF,NA,NA,no,class,Levine 1985 pg. 317,Ixodes scapularis tick,species,Hersh et al.,"white-footed mice, raccoons, short-talied shrews, eastern chipmunks, meadow voles, other rodents, foxes",species,Hersh et al.,needs two hosts to complete transmission
Babesia missirolii,Babesia missirolii,Babesia missirolii,-1,Sporozoan,Apicomplexa,Aconoidasida,Achromatorida,Babesiidae,1,species,Aikawa & Sterling 1974 pg. 54,red blood cells,circulatory,species,"Aikawa & Sterling 1974 pg. 54, Levine 1985 pg. 317",worldwide,genus,"Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 317",yes,genus,"Aikawa & Sterling 1974 pg. 54, Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 317","cattle, sheep, goats, horses, dogs, rodents",genus,Aikawa & Sterling 1974 pg. 54,no,species,Levine 1985 pg. 317,NF,NA,NA,no,class,Levine 1985 pg. 317,ticks,species,,NF,NA,NA,needs two hosts to complete transmission
Babesia odocoilei,Babesia odocoilei,Babesia odocoilei,-1,Sporozoan,Apicomplexa,Aconoidasida,Achromatorida,Babesiidae,1,species,Aikawa & Sterling 1974 pg. 54,red blood cells,circulatory,species,"Aikawa & Sterling 1974 pg. 54, Levine 1985 pg. 317",worldwide,genus,"Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 317",yes,genus,"Aikawa & Sterling 1974 pg. 54, Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 317","cattle, sheep, goats, horses, dogs, rodents",genus,Aikawa & Sterling 1974 pg. 54,no,species,Levine 1985 pg. 317,NF,NA,NA,no,class,Levine 1985 pg. 317,ticks,species,,NF,NA,NA,needs two hosts to complete transmission
Babesia ovis,Babesia ovis,Babesia ovis,-1,Sporozoan,Apicomplexa,Aconoidasida,Achromatorida,Babesiidae,1,species,Aikawa & Sterling 1974 pg. 54,red blood cells,circulatory,species,"Aikawa & Sterling 1974 pg. 54, Levine 1985 pg. 317",worldwide,genus,"Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 317",yes,species,Levine 1985 pg. 328,"sheep, goats",species,Levine 1985 pg. 328,no,species,Levine 1985 pg. 317,NF,NA,NA,no,class,Levine 1985 pg. 317,ticks,species,,NF,NA,NA,needs two hosts to complete transmission
Babesia pitheci,Babesia pitheci,Babesia pitheci,-1,Sporozoan,Apicomplexa,Aconoidasida,Achromatorida,Babesiidae,1,species,Aikawa & Sterling 1974 pg. 54,red blood cells,circulatory,species,"Aikawa & Sterling 1974 pg. 54, Levine 1985 pg. 317",worldwide,genus,"Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 317",yes,genus,"Aikawa & Sterling 1974 pg. 54, Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 317","cattle, sheep, goats, horses, dogs, rodents",genus,Aikawa & Sterling 1974 pg. 54,no,species,Levine 1985 pg. 317,NF,NA,NA,no,class,Levine 1985 pg. 317,ticks,species,,NF,NA,NA,needs two hosts to complete transmission
Babesia propitheci,Babesia propitheci,Babesia propitheci,-1,Sporozoan,Apicomplexa,Aconoidasida,Achromatorida,Babesiidae,1,species,Aikawa & Sterling 1974 pg. 54,red blood cells,circulatory,species,"Aikawa & Sterling 1974 pg. 54, Levine 1985 pg. 317",worldwide,genus,"Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 317",yes,genus,"Aikawa & Sterling 1974 pg. 54, Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 317","cattle, sheep, goats, horses, dogs, rodents",genus,Aikawa & Sterling 1974 pg. 54,no,species,Levine 1985 pg. 317,NF,NA,NA,no,class,Levine 1985 pg. 317,ticks,species,,NF,NA,NA,needs two hosts to complete transmission
Babesia rossi,Babesia rossi,Babesia rossi,-1,Sporozoan,Apicomplexa,Aconoidasida,Achromatorida,Babesiidae,1,species,Aikawa & Sterling 1974 pg. 54,red blood cells,circulatory,species,"Aikawa & Sterling 1974 pg. 54, Levine 1985 pg. 317",worldwide,genus,"Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 317",yes,genus,"Aikawa & Sterling 1974 pg. 54, Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 317","cattle, sheep, goats, horses, dogs, rodents",genus,"Aikawa & Sterling 1974 pg. 54, Levine 1985 pg. 301",no,species,Levine 1985 pg. 317,NF,NA,NA,no,class,Levine 1985 pg. 317,ticks,species,,"wolf, coyote, jackal, red fox, raccoon dog",species,,needs two hosts to complete transmission
Balantidium aragaoi,Balantidium aragaoi,Balantidium aragaoi,-1,Ciliate,Ciliophora,Litostomatea,Vestibuliferida,Balantidiidae,0,genus,Schuster and Ramirez-Aliva 2007,gut,digestive,genus,Schuster and Ramirez-Aliva 2007,"Central America, South America",species,Encyclopedia of Life,no,species,Encyclopedia of Life,NA,NA,NA,no,genus,Wikipedia,yes,genus,Wikipedia,both,genus,"Wikpedia, Schuster and Ramirez-Aliva 2007",NF,NF,NF,black howler monkey,species,Encyclopedia of Life,
Balantidium coli,Balantidium coli,Balantidium coli,1,Ciliate,Ciliophora,Litostomatea,Vestibuliferida,Balantidiidae,0,species,Schuster and Ramirez-Aliva 2008,gut,digestive,species,Schuster and Ramirez-Aliva 2008,"Worldwide, Latin America, Philippines, Papua New Guinea and West Irian, Middle East",species,Schuster and Ramirez-Aliva 2008,yes,species,Schuster and Ramirez-Aliva 2008,pigs,species,Schuster and Ramirez-Aliva 2008,no,genus,Wikipedia,yes,species,Wikipedia,both,species,"Wikpedia, Schuster and Ramirez-Aliva 2008","fecal-oral, waterborne",species,Wikipedia,"pigs, nonhuman primates (Celebes crested macaques, mandrills, hamadryas baboons, lemurs)",species,Schuster and Ramirez-Aliva 2008,
Besnoitia tarandi,Besnoitia tarandi,Besnoitia tarandi,-1,Sporozoan,Apicomplexa,Coccidia,Eucoccidiorida,Sarcocystidae,1,genus,Aikawa & Sterling 1974 pg. 42,"dermal tissue (skin); subcutaneous tissue, muscle fascia, periosteum, mucous membrane of mouth, pharynx and trachea, muscle, heart, lung, kidney, lymph node, brain, sclera, conjunctiva, skin","multi: muscular, repiratory, lymphatic, integumentary, urinary, nervous, ocular",species,"Aikawa & Sterling 1974 pg. 42, Dubey et al 2004 Table 1","Europe, North America",species,Gutierrez-Exposito et al. 2012,no,species,Gutierrez-Exposito et al. 2012,NA,NA,NA,no,genus,Wikipedia,yes,species,Aikawa & Sterling 1974 pg. 42,yes,genus,Aikawa & Sterling 1974 pg. 49,life cycle involves a definitive host and an intermediate host,genus,Veterinary Medicine (Eleventh Edition) 2017,"caribou, muskox, bison",species,Gutierrez-Exposito et al. 2012,obligatorily heteroxenous
Blastocystis hominis,Blastocystis hominis,Blastocystis hominis,0,Flagellate,Heterokontophyta,Blastocystea,Blastocystida,Blastocystidae,0,genus,Tan 2004,gut,digestive,species,Garcia 2013,worldwide,species,Garcia 2013,yes,species,Tan 2004,"pigs, chickens",genus,Tan 2004,no,genus,Tan 2005,yes,species,Garcia 2013,no,genus,Tan 2004,fecal-oral,species,Wikipedia,"guinea pigs, monkeys, birds, reptiles, rats",genus,Tan 2004,there is controversy over host specificity and taxonomic classification
Blepharocorys jubata,Blepharocorys jubata,Blepharocorys jubata,-1,Ciliate,Ciliophora,Litostomatea,Entodiniomorphida,Blepharocorythidae,NF,NA,NA,NF,NF,NA,NA,NF,NA,NA,NF,NA,NA,NF,NA,NA,NF,NA,NA,NF,NA,NA,NF,NA,NA,NF,NA,NA,NF,NA,NA,
Charonina hippopotami,Charonina hippopotami,Charonina hippopotami,-1,Ciliate,Ciliophora,Litostomatea,Entodiniomorphida,Blepharocorythidae,NF,NA,NA,gut,digestive,species,Thurston and Grain 1971,Africa,species,Thurston and Grain 1971,no,species,Thurston and Grain 1971,NA,NA,NA,no,species,Thurston and Grain 1971,NF,NA,NA,NF,NA,NA,NF,NA,NA,NF,NA,NA,
Chilomastix mesnili,Chilomastix mesnili,Chilomastix mesnili,0,Flagellate,Metamonada,Eopharyngia,Retortamonadida,Chilomastigidae,0,genus,Vaccaro 2000,gut,digestive,genus,Vaccaro 2000,worldwide,species,CDC,yes,species,Wikipedia,pigs,species,Wikipedia,yes,species,CDC,yes,species,CDC,NF,NA,NA,"ingestion; contaminated water, food, or by the fecal-oral route (hands or fomites)",genus; species,Vaccaro 2000; CDC,"chimpanzees, orangutans, monkeys",species,Wikipedia,
Cryptosporidium parvum,Cryptosporidium parvum,Cryptosporidium parvum,0,Sporozoan,Apicomplexa,Coccidia,Eucoccidiorida,Cryptosporidiidae,1,species,O'hara and Chen 2011,gut,digestive,species,O'hara and Chen 2011,worldwide,species,Garcia-R et al. 2017,yes,species,Garcia-R et al. 2017,cattle,species,Garcia-R et al. 2017,no,species,O'hara and Chen 2011,yes,species,O'hara and Chen 2011,yes,species,O'hara and Chen 2011,"fecal-oral, waterborne",species,Wikipedia,no,species,Garcia-R et al. 2017,intracellular but extracytoplasmic
Cycloposthium bipalmatum,Cycloposthium bipalmatum,Cycloposthium bipalmatum,-1,Ciliate,Ciliophora,Litostomatea,Entodiniomorphida,Cycloposthiidae,NF,NA,NA,NF,NF,NA,NA,NF,NA,NA,yes,species,Cameron et al. 2000,horses,species,Cameron et al. 2000,no,genus,Cameron et al. 2000,NF,NA,NA,no,genus,Cameron et al. 2000,NF,NA,NA,NF,NA,NA,
Cycloposthium corrugatum,Cycloposthium corrugatum,Cycloposthium corrugutum,-1,Ciliate,Ciliophora,Litostomatea,Entodiniomorphida,Cycloposthiidae,NF,NA,NA,NF,NF,NA,NA,NF,NA,NA,yes,species,Cameron et al. 2000,horses,species,Cameron et al. 2000,no,genus,Cameron et al. 2000,NF,NA,NA,no,genus,Cameron et al. 2000,NF,NA,NA,NF,NA,NA,
Cycloposthium dentiferum,Cycloposthium dentiferum,Cycloposthium dentiferum,-1,Ciliate,Ciliophora,Litostomatea,Entodiniomorphida,Cycloposthiidae,NF,NA,NA,NF,NF,NA,NA,NF,NA,NA,yes,species,Cameron et al. 2000,horses,species,Cameron et al. 2000,no,genus,Cameron et al. 2000,NF,NA,NA,no,genus,Cameron et al. 2000,NF,NA,NA,NF,NA,NA,
Cycloposthium edentatum,Cycloposthium edentatum,Cycloposthium edentatum,-1,Ciliate,Ciliophora,Litostomatea,Entodiniomorphida,Cycloposthiidae,NF,NA,NA,Australia,species,Cameron et al. 2000,NA,NF,NA,NA,yes,species,Cameron et al. 2000,horses,species,Cameron et al. 2000,no,species,Cameron et al. 2000,NF,NA,NA,no,species,Cameron et al. 2000,NF,NA,NA,black-striped wallaby,species,Cameron et al. 2000,
Cycloposthium scutigerum,Cycloposthium scutigerum,Cylicocyclus gylocephaloides,-1,Ciliate,Ciliophora,Litostomatea,Entodiniomorphida,Cycloposthiidae,NF,NA,NA,NF,NF,NA,NA,NF,NA,NA,yes,species,Cameron et al. 2000,horses,species,Cameron et al. 2000,no,genus,Cameron et al. 2000,NF,NA,NA,no,genus,Cameron et al. 2000,NF,NA,NA,NF,NA,NA,
Cyclospora cercopitheci,Cyclospora cercopitheci,Cyclospora cercopitheci,-1,Sporozoan,Apicomplexa,Coccidia,Eucoccidiorida,Eimeriidae,1,genus,CDC,gut,digestive,genus,CDC,NF,NA,NA,no,species,Wikipedia,NA,NA,NA,no,genus,Wikipedia,no,genus,CDC,yes,genus,CDC,"fecal-oral, ingestion",genus,CDC,African green monkey,species,Wikipedia,
Cyclospora colobi,Cyclospora colobi,Cyclospora colobi,-1,Sporozoan,Apicomplexa,Coccidia,Eucoccidiorida,Eimeriidae,1,genus,CDC,gut,digestive,genus,CDC,NF,NA,NA,no,species,Wikipedia,NA,NA,NA,no,genus,Wikipedia,no,genus,CDC,yes,genus,CDC,"fecal-oral, ingestion",genus,CDC,Colobus monkey,species,Wikipedia,
Cyclospora papionis,Cyclospora papionis,Cyclospora papionis,-1,Sporozoan,Apicomplexa,Coccidia,Eucoccidiorida,Eimeriidae,1,genus,CDC,gut,digestive,genus,CDC,NF,NA,NA,no,species,Wikipedia,NA,NA,NA,no,genus,Wikipedia,no,genus,CDC,yes,genus,CDC,"fecal-oral, ingestion",genus,CDC,Olive baboon,species,Wikipedia,
Cystoisospora felis,Cystoisospora felis,Isospora felis,-1,Sporozoan,Apicomplexa,Coccidia,Eucoccidiorida,Sarcocystidae,1,species,Dubey 2014,small intestine,digestive,species,Dubey 2014,worldwide,species,Dubey 2014,yes,species,Dubey 2014,cat,species,Dubey 2014,no,species,Dubey 2014,yes,species,Dubey 2014,yes,species,Dubey 2014,fecal-oral,species,Dubey 2014,mice,species,Dubey 2014,
Cystoisospora ohioensis,Cystoisospora ohioensis,Isospora ohioensis,-1,Sporozoan,Apicomplexa,Coccidia,Eucoccidiorida,Sarcocystidae,1,species,Lee et al. 2018,gut,digestive,species,Lee et al. 2018,Asia,species,Lee et al. 2018,yes,species,Lee et al. 2018,dog,species,Lee et al. 2018,no,species,Lee et al. 2018,yes,species,Lee et al. 2018,yes,species,Lee et al. 2018,fecal-oral,species,Lee et al. 2018,Japanese raccoon dog,species,Lee et al. 2018,
Cytauxzoon felis,Cytauxzoon felis,Cytauxzoon felis,-1,Sporozoan,Apicomplexa,Aconoidasida,Achromatorida,Theileriidae,1,species,Merck,"white blood cells, red blood cells",circulatory,species,Merck,"worldwide, North America, South America, Europe, Asia, Africa",species,Wang et al. 2017,yes,species,Merck,cat,species,Merck,no,species,Wang et al. 2017,no,species,Wang et al. 2017,yes,species,Wang et al. 2017,"ticks (Amblyomma americanum, the lone star tick, or Dermacentor variabilis, the American dog tick)",species,Wang et al. 2017,"Bobcats (Lynx rufus), Iberian lynxes (Lynx pardinus), Eurasian lynxes (Lynx lynx), wild cats (Felis silvestris), Panthera onca, Leopardus pardalis, Puma concolor, Leopardus tigrinis, ",species,Wang et al. 2017,
Cytauxzoon manul,Cytauxzoon manul,Cytauxzoon manul,-1,Sporozoan,Apicomplexa,Aconoidasida,Piroplasmida,Theileriidae,1,species,Wang et al. 2017,red blood cells,circulatory,species,Keta-Riley et al. 2003,Asia,species,Keta-Riley et al. 2003,no,species,Keta-Riley et al. 2003,NA,NA,NA,no,species,Keta-Riley et al. 2003,no,species,Keta-Riley et al. 2003,yes,genus,Wang et al. 2018,ticks,species,Keta-Riley et al. 2003,Pallas's cats (Otocolobus manul),species,Keta-Riley et al. 2003,
Dientamoeba fragilis,Dientamoeba fragilis,Dientamoeba fragilis,0,Flagellate,Metamonada,Trichomonada,Trichomonadida,Monocercomonadidae,0,species,CDC,large intestine,digestive,species,CDC,worldwide,species,CDC,yes,species,Stark et al. 2016,pigs,species,Stark et al. 2016,no,species,Stark et al. 2016,yes,species,Stark et al. 2016,no,species,CDC,"fecal-oral, intermediate host, cyst",species,Stark et al. 2016,"gorillas, rodents",species,Stark et al. 2016,parasite is not well known despite infecting humans. Transmission is debated. May be passed on through ova of the helminth pinworm E. vermicularis
Diplodinium anacanthum,Diplodinium anacanthum,"Diplodinium anacanthum F. anacanthum, Diplodinium anacanthum F. monocanthum",-1,Ciliate,Ciliophora,Litostomatea,Entodiniomorphida,Ophryoscolecidae,0,genus,Williams and Coleman 2012 pg. 33,rumen,digestive,species,Williams and Coleman 2012 pg. 33,worldwide,species,Williams and Coleman 2012 pg. 36,yes,species,Williams and Coleman 2012 pg. 36,"cattle, waterbuffalo, zebu",species,Williams and Coleman 2012 pg. 36,no,genus,Williams and Coleman 2012 pg. 33,no,genus,Williams and Coleman 2012 pg. 33,no,genus,Williams and Coleman 2012 pg. 33,NF,NA,NA,no,species,Williams and Coleman 2012 pg. 36,
Diplodinium dentatum,Diplodinium dentatum,Diplodinium dentatum,-1,Ciliate,Ciliophora,Litostomatea,Entodiniomorphida,Ophryoscolecidae,1,genus,Williams and Coleman 2012 pg. 33,rumen,digestive,species,Williams and Coleman 2012 pg. 33,NF,NA,NA,NF,NA,NA,NF,NA,NA,no,genus,Williams and Coleman 2012 pg. 34,no,genus,Williams and Coleman 2012 pg. 34,no,genus,Williams and Coleman 2012 pg. 34,NF,NA,NA,NF,NA,NA,
Diploplastron affine,Diploplastron affine,Diploplastron affine,-1,Ciliate,Ciliophora,Litostomatea,Entodiniomorphida,Ophryoscolecidae,NF,NA,NA,rumen,digestive,species,Wereszka and Michałowski 2012,worldwide,species,Wereszka and Michałowski 2012,yes,species,Wereszka and Michałowski 2012,"cattle, sheep",species,Wereszka and Michałowski 2012,NF,NA,NA,NF,NA,NA,NF,NA,NA,NF,NA,NA,no,species,Wereszka and Michałowski 2012,
Eimeria auburnensis,Eimeria auburnensis,Eimeria auburnensis,-1,Sporozoan,Apicomplexa,Coccidia,Eucoccidiorida,Eimeriidae,1,genus,Aikawa & Sterling 1974 pg. 42,gut,digestive,genus,Aikawa & Sterling 1974 pg. 42,worldwide,genus,Gutteridge & Coombs 1977 pg. 5,yes,species,Hammond et al. 1961,cattle,species,Hammond et al. 1961,no,genus,Wikipedia,yes,genus,Gutteridge & Coombs 1977,yes,genus,Aikawa & Sterling 1974 pg. 49,"enivorment, cysts",genus,"Aikawa & Sterling 1974, Gutteridge & Coombs 1977",no,genus,Aikawa & Sterling 1974 pg. 42,"Eimeria: development in single host and oocysts pass into environment. In vertebrates, mostly in epithelial cells like gut (Aikawa, 42); Eimeria are monoxenes (having only one host)"
Eimeria bovis,Eimeria bovis,Eimeria bovis,-1,Sporozoan,Apicomplexa,Coccidia,Eucoccidiorida,Eimeriidae,1,genus,Aikawa & Sterling 1974 pg. 42,"small intestine, large intestine",digestive,genus,Aikawa & Sterling 1974 pg. 42,worldwide,genus,Gutteridge & Coombs 1977 pg. 5,yes,species,Wikipedia,cattle,species,Wikipedia,no,genus,Wikipedia,yes,genus,Gutteridge & Coombs 1977,yes,genus,Aikawa & Sterling 1974 pg. 49,"enivorment, cysts",genus,"Aikawa & Sterling 1974, Gutteridge & Coombs 1977",no,genus,Aikawa & Sterling 1974 pg. 42,"Eimeria: development in single host and oocysts pass into environment. In vertebrates, mostly in epithelial cells like gut (Aikawa, 42); Eimeria are monoxenes (having only one host)"
Eimeria crispus,Eimeria crispus,Eimeria crispus,-1,Sporozoan,Apicomplexa,Coccidia,Eucoccidiorida,Eimeriidae,1,genus,Aikawa & Sterling 1974 pg. 42,gut,digestive,genus,Aikawa & Sterling 1974 pg. 42,Japan,species,Inoue 1989,no,species,Inoue 1989,NA,NA,NA,no,genus,Wikipedia,yes,genus,Gutteridge & Coombs 1977,yes,genus,Aikawa & Sterling 1974 pg. 49,"enivorment, cysts",genus,"Aikawa & Sterling 1974, Gutteridge & Coombs 1977",Japanese Serow,species,Inoue 1898,"Eimeria: development in single host and oocysts pass into environment. In vertebrates, mostly in epithelial cells like gut (Aikawa, 42); Eimeria are monoxenes (having only one host)"
Eimeria felina,Eimeria felina,Eimeria felina,-1,Sporozoan,Apicomplexa,Coccidia,Eucoccidiorida,Eimeriidae,1,genus,Aikawa & Sterling 1974 pg. 42,gut,digestive,genus,Aikawa & Sterling 1974 pg. 42,Europe,species,Scientific Online Library,yes,species,Scientific Online Library,cats,species,Scientific Online Library,no,genus,Wikipedia,yes,genus,Gutteridge & Coombs 1977,yes,genus,Aikawa & Sterling 1974 pg. 49,"enivorment, cysts",genus,"Aikawa & Sterling 1974, Gutteridge & Coombs 1977",no,genus,Aikawa & Sterling 1974 pg. 42,"Eimeria: development in single host and oocysts pass into environment. In vertebrates, mostly in epithelial cells like gut (Aikawa, 42); Eimeria are monoxenes (having only one host)"
Eimeria furonis,Eimeria furonis,Eimeria furonis,-1,Sporozoan,Apicomplexa,Coccidia,Eucoccidiorida,Eimeriidae,1,genus,Aikawa & Sterling 1974 pg. 42,gut,digestive,genus,Aikawa & Sterling 1974 pg. 42,worldwide,genus,Gutteridge & Coombs 1977 pg. 5,no,species,not reported anywhere,NA,NA,NA,no,genus,Wikipedia,yes,genus,Gutteridge & Coombs 1977,yes,genus,Aikawa & Sterling 1974 pg. 49,"enivorment, cysts",genus,"Aikawa & Sterling 1974, Gutteridge & Coombs 1977","skunks, ferrets",species,https://www.ncbi.nlm.nih.gov/pubmed/22129123; https://www.tandfonline.com/doi/abs/10.1080/00034983.1932.11684728?journalCode=ypgh19,"Eimeria: development in single host and oocysts pass into environment. In vertebrates, mostly in epithelial cells like gut (Aikawa, 42); Eimeria are monoxenes (having only one host)"
