Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[geographical location]	Term Source REF	Term Accession Number	Protocol REF	Sample Name
GeoNames or MESH database				Guinea-Bissau	GAZ	GAZ:00000910	Data Repositories	guinea-bissau
GeoNames or MESH database				Dominican Republic	GAZ	GAZ:00003952	Data Repositories	dominican republic
GeoNames or MESH database				Lesotho	GAZ	GAZ:00001098	Data Repositories	lesotho
GeoNames or MESH database				Kazakhstan	GAZ	GAZ:00004999	Data Repositories	kazakhstan
GeoNames or MESH database				Singapore	GAZ	GAZ:00003923	Data Repositories	singapore
GeoNames or MESH database				Vanuatu	GAZ	GAZ:00006918	Data Repositories	vanuatu
GeoNames or MESH database				Honduras	GAZ	GAZ:00002894	Data Repositories	honduras
GeoNames or MESH database				Nicaragua	GAZ	GAZ:00002978	Data Repositories	nicaragua
GeoNames or MESH database				Isle of Man	GAZ	GAZ:00052477	Data Repositories	isle of man
GeoNames or MESH database				Saint Helena Territory	GAZ	GAZ:00003991	Data Repositories	saint helena
GeoNames or MESH database				Barbados	GAZ	GAZ:00001251	Data Repositories	barbados
GeoNames or MESH database				Cape Verde	GAZ	GAZ:00001227	Data Repositories	cape verde
GeoNames or MESH database				Slovakia	GAZ	GAZ:00002956	Data Repositories	slovakia
GeoNames or MESH database				Equatorial Guinea	GAZ	GAZ:00001091	Data Repositories	equatorial guinea
GeoNames or MESH database				Svalbard and Jan Mayen			Data Repositories	svalbard and jan mayen
GeoNames or MESH database				Commonwealth of Puerto Rico	GAZ	GAZ:00006935	Data Repositories	puerto rico
GeoNames or MESH database				Montserrat	GAZ	GAZ:00003988	Data Repositories	montserrat
GeoNames or MESH database				Guadeloupe Region	GAZ	GAZ:00067142	Data Repositories	guadeloupe
GeoNames or MESH database				Grenada	GAZ	GAZ:02000573	Data Repositories	grenada
GeoNames or MESH database				Cayman islands	GAZ	GAZ:00003986	Data Repositories	cayman islands
GeoNames or MESH database				Belize	GAZ	GAZ:00002934	Data Repositories	belize
GeoNames or MESH database				US Virgin Islands	GAZ	GAZ:00003959	Data Repositories	u.s. virgin islands
GeoNames or MESH database				Faroe Islands	GAZ	GAZ:00059206	Data Repositories	faroe islands
GeoNames or MESH database				Mongolia	GAZ	GAZ:00008744	Data Repositories	mongolia
GeoNames or MESH database				Latvia	GAZ	GAZ:00002958	Data Repositories	latvia
GeoNames or MESH database				Paraguay	GAZ	GAZ:00002933	Data Repositories	paraguay
GeoNames or MESH database				Department of French Guiana	GAZ	GAZ:00002516	Data Repositories	french guiana
GeoNames or MESH database				Uruguay	GAZ	GAZ:00002930	Data Repositories	uruguay
GeoNames or MESH database				united states minor outlying islands	GAZ	GAZ:00007113	Data Repositories	united states minor outlying islands
GeoNames or MESH database				Guyana	GAZ	GAZ:00002522	Data Repositories	guyana
GeoNames or MESH database				Department of Martinique	GAZ	GAZ:00003947	Data Repositories	martinique
GeoNames or MESH database				El Salvador	GAZ	GAZ:00002935	Data Repositories	el salvador
GeoNames or MESH database				Slovenia	GAZ	GAZ:00002955	Data Repositories	slovenia
GeoNames or MESH database				Montenegro	GAZ	GAZ:00006898	Data Repositories	montenegro
GeoNames or MESH database				Laos	GAZ	GAZ:00006889	Data Repositories	laos
GeoNames or MESH database				Uzbekistan	GAZ	GAZ:00004979	Data Repositories	uzbekistan
GeoNames or MESH database				Saint Kitts-Nevis	GAZ	GAZ:00006906	Data Repositories	saint kitts and nevis
GeoNames or MESH database				French Polynesia	GAZ	GAZ:00002918	Data Repositories	french polynesia
GeoNames or MESH database				Iraq	GAZ	GAZ:00004483	Data Repositories	iraq
GeoNames or MESH database				Yemen	GAZ	GAZ:00005284	Data Repositories	yemen
GeoNames or MESH database				Kiribati	GAZ	GAZ:00006894	Data Repositories	kiribati
GeoNames or MESH database				Reunion Island	GAZ	GAZ:00003945	Data Repositories	reunion
GeoNames or MESH database				Pitcairn	GAZ	GAZ:00007187	Data Repositories	pitcairn
GeoNames or MESH database				Luxembourg	GAZ	GAZ:00002947	Data Repositories	luxembourg
GeoNames or MESH database				Sierra Leone	GAZ	GAZ:00000914	Data Repositories	sierra leone
GeoNames or MESH database				Sao Tome and Principe	GAZ	GAZ:00006927	Data Repositories	sao tome and principe
GeoNames or MESH database				Gibraltar	GAZ	GAZ:00003987	Data Repositories	gibraltar
GeoNames or MESH database				Jamaica	GAZ	GAZ:00003781	Data Repositories	jamaica
GeoNames or MESH database				Solomon islands	GAZ	GAZ:00005275	Data Repositories	solomon islands
GeoNames or MESH database				Nauru	GAZ	GAZ:00006900	Data Repositories	nauru
GeoNames or MESH database				Andorra	GAZ	GAZ:00002948	Data Repositories	andorra
GeoNames or MESH database				Djibouti	GAZ	GAZ:00000582	Data Repositories	djibouti
GeoNames or MESH database				Liechtenstein	GAZ	GAZ:00003858	Data Repositories	liechtenstein
GeoNames or MESH database				Republic of Congo	GAZ	GAZ:00001088	Data Repositories	republic of the congo
GeoNames or MESH database				Serbia	GAZ	GAZ:00002957	Data Repositories	serbia
GeoNames or MESH database				United Arab Emirates	GAZ	GAZ:00005282	Data Repositories	united arab emirates
GeoNames or MESH database				North Korea	GAZ	GAZ:00002801	Data Repositories	north korea
GeoNames or MESH database				Republic of Malta	GAZ	GAZ:00004017	Data Repositories	malta
GeoNames or MESH database				Falkland Islands	GAZ	GAZ:00001412	Data Repositories	falkland islands
GeoNames or MESH database				Mayotte	GAZ	GAZ:00003943	Data Repositories	mayotte
GeoNames or MESH database				Cook Archipelago	GAZ	GAZ:00006953	Data Repositories	cook islands
GeoNames or MESH database				Brunei Darussalam	GAZ	GAZ:00003901	Data Repositories	brunei
GeoNames or MESH database				South Georgia and South Sandwich Islands	GAZ	GAZ:00003990	Data Repositories	south georgia and the south sandwich islands
GeoNames or MESH database				Kosovo	GAZ	GAZ:00011337	Data Repositories	kosovo
GeoNames or MESH database				Territory of Christmas Island	GAZ	GAZ:00005914	Data Repositories	christmas island
GeoNames or MESH database				Republic of the Marshall Islands	GAZ	GAZ:00006470	Data Repositories	marshall islands
GeoNames or MESH database				Western Sahara	GAZ	GAZ:00000564	Data Repositories	western sahara
GeoNames or MESH database				Saint-Pierre and Miquelon	GAZ	GAZ:00003942	Data Repositories	saint pierre and miquelon
GeoNames or MESH database				Palestinian Territory			Data Repositories	palestinian territory
GeoNames or MESH database				Saint Martin	GAZ	GAZ:00005841	Data Repositories	saint martin
GeoNames or MESH database				San Marino	GAZ	GAZ:00003102	Data Repositories	san marino
GeoNames or MESH database				Guernsey	GAZ	GAZ:00001550	Data Repositories	guernsey
GeoNames or MESH database				Bonaire Island	GAZ	GAZ:00004020	Data Repositories	bonaire, saint eustatius and saba 
GeoNames or MESH database				Tokelau	GAZ	GAZ:00006914	Data Repositories	tokelau
GeoNames or MESH database				Macao	GAZ	GAZ:00003202	Data Repositories	macao
GeoNames or MESH database				Tuvalu	GAZ	GAZ:00009715	Data Repositories	tuvalu
