Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[geographical location]	Term Source REF	Term Accession Number	Protocol REF	Sample Name
NCBI Taxonomy database	Numida meleagris	NCBITAXON	8996				Data Repositories	Numida meleagris
NCBI Taxonomy database	Capra hircus	NCBITAXON	9925				Data Repositories	Capra hircus
NCBI Taxonomy database	Oryctolagus cuniculus	NCBITAXON	9986				Data Repositories	Oryctolagus cuniculus
NCBI Taxonomy database	Ovis aries	NCBITAXON	9940				Data Repositories	Ovis aries
NCBI Taxonomy database	Pavo cristatus	NCBITAXON	9049				Data Repositories	Pavo cristatus
NCBI Taxonomy database	Bubalus bubalis	NCBITAXON	89462				Data Repositories	Bubalus bubalis
NCBI Taxonomy database	Phasianus colchicus	NCBITAXON	9054				Data Repositories	Phasianus colchicus
NCBI Taxonomy database	Rangifer tarandus	NCBITAXON	9870				Data Repositories	Rangifer tarandus
NCBI Taxonomy database	Anser anser	NCBITAXON	8843				Data Repositories	Anser anser
NCBI Taxonomy database	Anas platyrhynchos	NCBITAXON	8839				Data Repositories	Anas platyrhynchos
NCBI Taxonomy database	Serinus canaria	NCBITAXON	9135				Data Repositories	Serinus canaria
NCBI Taxonomy database	Struthio camelus	NCBITAXON	8801				Data Repositories	Struthio camelus
NCBI Taxonomy database	Rattus norvegicus	NCBITAXON	10116				Data Repositories	Rattus norvegicus
NCBI Taxonomy database	Rattus rattus	NCBITAXON	10117				Data Repositories	Rattus rattus
NCBI Taxonomy database	Sus scrofa	NCBITAXON	9823				Data Repositories	Sus scrofa
NCBI Taxonomy database	Lagopus lagopus scotica	NCBITAXON	359986				Data Repositories	Lagopus lagopus scotica
NCBI Taxonomy database	Rhombomys opimus	NCBITAXON	186474				Data Repositories	Rhombomys opimus
NCBI Taxonomy database	Gallus gallus	NCBITAXON	9031				Data Repositories	Gallus gallus
NCBI Taxonomy database	Chinchilla lanigera	NCBITAXON	34839				Data Repositories	Chinchilla lanigera
NCBI Taxonomy database	Columba livia	NCBITAXON	8932				Data Repositories	Columba livia
NCBI Taxonomy database	Dama dama	NCBITAXON	30532				Data Repositories	Dama dama
NCBI Taxonomy database	Agapornis personata	NCBITAXON	60466				Data Repositories	Agapornis personata
NCBI Taxonomy database	Agapornis roseicollis	NCBITAXON	60468				Data Repositories	Agapornis roseicollis
NCBI Taxonomy database	Nymphicus hollandicus	NCBITAXON	13180				Data Repositories	Nymphicus hollandicus
NCBI Taxonomy database	Melopsittacus undulatus	NCBITAXON	13146				Data Repositories	Melopsittacus undulatus
NCBI Taxonomy database	Equus asinus africanus	NCBITAXON	582580				Data Repositories	Equus asinus africanus
NCBI Taxonomy database	Chlorophyta	NCBITAXON	3041				Data Repositories	Chlorophyta
NCBI Taxonomy database	Embryophyta	NCBITAXON	3193				Data Repositories	Embryophyta
NCBI Taxonomy database	Oomycetes	NCBITAXON	4762				Data Repositories	Oomycetes
NCBI Taxonomy database	Paramyxea	NCBITAXON	98369				Data Repositories	Paramyxea
NCBI Taxonomy database	Kappaphycus alvarezii	NCBITAXON	38544				Data Repositories	Kappaphycus alvarezii
NCBI Taxonomy database	Petalonia fascia	NCBITAXON	2893				Data Repositories	Petalonia fascia
NCBI Taxonomy database	Grateloupia filicina	NCBITAXON	31455				Data Repositories	Grateloupia filicina
NCBI Taxonomy database	Gelidium amansii	NCBITAXON	2812				Data Repositories	Gelidium amansii
NCBI Taxonomy database	Emiliania huxleyi	NCBITAXON	2903				Data Repositories	Emiliania huxleyi
NCBI Taxonomy database	Corallina officinalis	NCBITAXON	35170				Data Repositories	Corallina officinalis
NCBI Taxonomy database	Palmaria palmata	NCBITAXON	2822				Data Repositories	Palmaria palmata
NCBI Taxonomy database	Plocamium telfairiae	NCBITAXON	38522				Data Repositories	Plocamium telfairiae
NCBI Taxonomy database	Gelidium pulchellum	NCBITAXON	28852				Data Repositories	Gelidium pulchellum
NCBI Taxonomy database	Gracilaria corticata	NCBITAXON	223959				Data Repositories	Gracilaria corticata
NCBI Taxonomy database	Grateloupia lanceolata	NCBITAXON	151733				Data Repositories	Grateloupia lanceolata
NCBI Taxonomy database	Grateloupia turuturu	NCBITAXON	118375				Data Repositories	Grateloupia turuturu
NCBI Taxonomy database	Hypnea musciformis	NCBITAXON	31429				Data Repositories	Hypnea musciformis
NCBI Taxonomy database	Isochrysis galbana	NCBITAXON	37099				Data Repositories	Isochrysis galbana
NCBI Taxonomy database	Laminaria digitata	NCBITAXON	80365				Data Repositories	Laminaria digitata
NCBI Taxonomy database	Lomentaria catenata	NCBITAXON	38336				Data Repositories	Lomentaria catenata
NCBI Taxonomy database	Fucus vesiculosus	NCBITAXON	49266				Data Repositories	Fucus vesiculosus
NCBI Taxonomy database	Saccharina latissima	NCBITAXON	309358				Data Repositories	Saccharina latissima
NCBI Taxonomy database	Porphyra yezoensis	NCBITAXON	2788				Data Repositories	Porphyra yezoensis
NCBI Taxonomy database	Padina pavonica	NCBITAXON	531984				Data Repositories	Padina pavonica
NCBI Taxonomy database	Padina arborescens	NCBITAXON	200423				Data Repositories	Padina arborescens
NCBI Taxonomy database	Mastocarpus stellatus	NCBITAXON	29227				Data Repositories	Mastocarpus stellatus
NCBI Taxonomy database	Chaetoceros compressus	NCBITAXON	426629				Data Repositories	Chaetoceros compressus
NCBI Taxonomy database	Chaetoceros muellerii	NCBITAXON	265525				Data Repositories	Chaetoceros muellerii
NCBI Taxonomy database	Chondrus crispus	NCBITAXON	2769				Data Repositories	Chondrus crispus
NCBI Taxonomy database	Chondrus ocellatus	NCBITAXON	29222				Data Repositories	Chondrus ocellatus
NCBI Taxonomy database	Colpomenia sinuosa	NCBITAXON	87236				Data Repositories	Colpomenia sinuosa
NCBI Taxonomy database	Devaleraea ramentacea	NCBITAXON	35202				Data Repositories	Devaleraea ramentacea
NCBI Taxonomy database	Durvillaea antarctica	NCBITAXON	112057				Data Repositories	Durvillaea antarctica
NCBI Taxonomy database	Ecklonia cava	NCBITAXON	105407				Data Repositories	Ecklonia cava
NCBI Taxonomy database	Ectocarpus fasciculatus	NCBITAXON	43935				Data Repositories	Ectocarpus fasciculatus
NCBI Taxonomy database	Enhalus acoroides	NCBITAXON	55455				Data Repositories	Enhalus acoroides
NCBI Taxonomy database	Fucus spiralis	NCBITAXON	87149				Data Repositories	Fucus spiralis
NCBI Taxonomy database	Sargassum fusiforme	NCBITAXON	590727				Data Repositories	Sargassum fusiforme
NCBI Taxonomy database	Sargassum serratifolium	NCBITAXON	127450				Data Repositories	Sargassum serratifolium
NCBI Taxonomy database	Scytosiphon lomentaria	NCBITAXON	27967				Data Repositories	Scytosiphon lomentaria
NCBI Taxonomy database	Undaria pinnatifida	NCBITAXON	74381				Data Repositories	Undaria pinnatifida
GeoNames or MESH database				Saudi Arabia	GAZ	GAZ:00005279	Data Repositories	saudi arabia
GeoNames or MESH database				Iran	GAZ	GAZ:00004474	Data Repositories	iran
GeoNames or MESH database				Republic of Cyprus	GAZ	GAZ:00004007	Data Repositories	cyprus
GeoNames or MESH database				Tanzania	GAZ	GAZ:00001103	Data Repositories	tanzania
GeoNames or MESH database				Armenia	GAZ	GAZ:00004094	Data Repositories	armenia
GeoNames or MESH database				Kenya	GAZ	GAZ:00001101	Data Repositories	kenya
GeoNames or MESH database				Uganda	GAZ	GAZ:00001102	Data Repositories	uganda
GeoNames or MESH database				Rwanda	GAZ	GAZ:00001087	Data Repositories	rwanda
GeoNames or MESH database				Somalia	GAZ	GAZ:00001104	Data Repositories	somalia
GeoNames or MESH database				Syria	GAZ	GAZ:00002474	Data Repositories	syria
GeoNames or MESH database				Democratic Republic of the Congo	GAZ	GAZ:00001086	Data Repositories	democratic republic of the congo
GeoNames or MESH database				Central African Republic	GAZ	GAZ:00001089	Data Repositories	central african republic
GeoNames or MESH database				Seychelles	GAZ	GAZ:00005821	Data Repositories	seychelles
GeoNames or MESH database				Israel	GAZ	GAZ:00002476	Data Repositories	israel
GeoNames or MESH database				Turkey	GAZ	GAZ:00000558	Data Repositories	turkey
GeoNames or MESH database				Ethiopia	GAZ	GAZ:00000567	Data Repositories	ethiopia
GeoNames or MESH database				Egypt	GAZ	GAZ:00003934	Data Repositories	egypt
GeoNames or MESH database				Sudan	GAZ	GAZ:00000560	Data Repositories	sudan
GeoNames or MESH database				Greece	GAZ	GAZ:00002945	Data Repositories	greece
GeoNames or MESH database				Burundi	GAZ	GAZ:00001090	Data Repositories	burundi
GeoNames or MESH database				Estonia	GAZ	GAZ:00002959	Data Repositories	estonia
GeoNames or MESH database				Georgia	GAZ	GAZ:00004942	Data Repositories	georgia
GeoNames or MESH database				Belarus	GAZ	GAZ:00006886	Data Repositories	belarus
GeoNames or MESH database				Finland	GAZ	GAZ:00002937	Data Repositories	finland
GeoNames or MESH database				Macedonia	GAZ	GAZ:00006895	Data Repositories	macedonia
GeoNames or MESH database				Hungary	GAZ	GAZ:00002952	Data Repositories	hungary
GeoNames or MESH database				Bulgaria	GAZ	GAZ:00002950	Data Repositories	bulgaria
GeoNames or MESH database				Poland	GAZ	GAZ:00002939	Data Repositories	poland
GeoNames or MESH database				Zimbabwe	GAZ	GAZ:00001106	Data Repositories	zimbabwe
GeoNames or MESH database				Jordan	GAZ	GAZ:00002473	Data Repositories	jordan
GeoNames or MESH database				Moldova	GAZ	GAZ:00003897	Data Repositories	moldova
GeoNames or MESH database				Mauritius	GAZ	GAZ:00003745	Data Repositories	mauritius
GeoNames or MESH database				Swaziland	GAZ	GAZ:00001099	Data Repositories	swaziland
GeoNames or MESH database				South Africa	GAZ	GAZ:00000553	Data Repositories	south africa
GeoNames or MESH database				Botswana	GAZ	GAZ:00001097	Data Repositories	botswana
GeoNames or MESH database				Ukraine	GAZ	GAZ:00002724	Data Repositories	ukraine
GeoNames or MESH database				Mozambique	GAZ	GAZ:00001100	Data Repositories	mozambique
GeoNames or MESH database				Madagascar	GAZ	GAZ:00001108	Data Repositories	madagascar
GeoNames or MESH database				Pakistan	GAZ	GAZ:00005246	Data Repositories	pakistan
GeoNames or MESH database				Bangladesh	GAZ	GAZ:00003750	Data Repositories	bangladesh
GeoNames or MESH database				Turkmenistan	GAZ	GAZ:00005018	Data Repositories	turkmenistan
GeoNames or MESH database				Tajikistan	GAZ	GAZ:00006912	Data Repositories	tajikistan
GeoNames or MESH database				India	GAZ	GAZ:00002839	Data Repositories	india
GeoNames or MESH database				Viet Nam	GAZ	GAZ:00003756	Data Repositories	vietnam
