"","protname","mean_ GDP_2015","mean_ HDI_2015"
"193","Tetratoxum parvum",1197.97448730469,0.47299998998642
"194","Tetratoxum unifasciculatum",1197.97448730469,0.47299998998642
"195","Theileria annae",23730.1484375,0.791574686765671
"196","Theileria bicornis",7333.66845703125,0.580273747444153
"197","Theileria buffeli",12019.6982421875,0.558472394943237
"198","Theileria cervi",33087.699609375,0.807254960536957
"199","Theileria mutans",12019.6982421875,0.558472394943237
"200","Theileria parva",4805.21573893229,0.501490791638692
"201","Toxoplasma gondii",31660.6165156694,0.812122728607871
"202","Triadinium galea",1197.97448730469,0.47299998998642
"203","Trichomonas intestinalis",773.351684570312,0.308999985456467
"204","Troglocorys cava",600.849830627441,0.353900004923344
"205","Troglodytella abrassarti",431.948616027832,0.289500005543232
"206","Trypanosoma brucei",2245.20926411947,0.407981298863888
"207","Trypanosoma cervi",29520.2259114583,0.760138332843781
"208","Trypanosoma congolense",2673.12159312855,0.436181818897074
"209","Trypanosoma cruzi",14089.9309486005,0.664818758158375
"210","Trypanosoma cyclops",9198.80078125,0.64300000667572
"211","Trypanosoma devei",8538.31129455566,0.593785271048546
"212","Trypanosoma diasi",10521.1740722656,0.577618062496185
"213","Trypanosoma evansi",10151.3468322754,0.547771491110325
"214","Trypanosoma hippicum",NA,NA
"215","Trypanosoma irangiense",2764.43728027344,0.412600010633469
"216","Trypanosoma lambrechti",8378.23970540365,0.606176242232323
"217","Trypanosoma lesourdi",1728.73205566406,0.778999984264374
"218","Trypanosoma minasense",6264.88495950138,0.621674004723044
"219","Trypanosoma mycetae",6664.21103922526,0.647455225388209
"220","Trypanosoma perodictici",1796.79660373264,0.371079802513123
"221","Trypanosoma pestanai",28265.70703125,0.783188372850418
"222","Trypanosoma primatum",3898.08813476562,0.429065297950398
"223","Trypanosoma rangeli",7333.32769775391,0.608369523286819
"224","Trypanosoma sanmartini",8424.021484375,0.592000007629395
"225","Trypanosoma simiae",1710.18081665039,0.412125002592802
"226","Trypanosoma theileri",1197.97448730469,0.47299998998642
"227","Trypanosoma venezuelense",NA,NA
"228","Trypanosoma vivax",2510.53238192472,0.42600000446493
