"","parname","ProportionalGenerality","ParasiteCloseness","ParasiteBetweenness","HostProportionalGenerality","HostBetweenness"
"177","Sarcocystis ovalis",0.00460789002561614,0.000521713787707222,0,0.0506891744860055,0.000217045016451404
"178","Sarcocystis phacochoeri",0.00460789002561614,0.000445905654229181,0,0.0442378250059684,0.00177853978707517
"179","Sarcocystis rangi",0.00460789002561614,0.000499310570467361,0,0.0368648541716404,2.62284659610805e-05
"180","Sarcocystis scandinavica",0.00460789002561614,0.000521713787707222,0,0.0506891744860055,0.000217045016451404
"181","Sarcocystis sebeki",0.00460789002561614,0.000504208439823444,0,0.0433162036516774,0.00011896374638878
"182","Sarcocystis silva",0.00921578005123228,0.000557177989896639,1.6386167021317e-07,0.0967702422005558,0.067416898034745
"183","Sarcocystis tarandivulpes",0.00460789002561614,0.000499310570467361,0,0.0368648541716404,2.62284659610805e-05
"184","Sarcocystis ursusi",0.00460789002561614,0.000512825061838775,0,0.0442378250059684,5.09997949243232e-06
"185","Sarcocystis woodhousei",0.00460789002561614,0.000451257030007123,0,0.0405513395888044,0.000487100082134352
"186","Sarcocystis youngi",0.00460789002561614,0.000508471400188924,0,0.0543756599031696,1.13656685831349e-05
"187","Spirodinium equi",0.00460789002561614,0.000516453113213652,0,0.0645134948003707,0.00122805424553488
"188","Tetratoxum parvum",0.00460789002561614,0.000516453113213652,0,0.0645134948003707,0.00122805424553488
"189","Tetratoxum unifasciculatum",0.00460789002561614,0.000516453113213652,0,0.0645134948003707,0.00122805424553488
"190","Theileria annae",0.00460789002561614,0.000545296121643919,0,0.135478339080778,0.097757706844756
"191","Theileria bicornis",0.00460789002561614,0.000516453113213652,0,0.0645134948003707,0.00122805424553488
"192","Theileria buffeli",0.00460789002561614,0.000514820490094957,0,0.0525324171945875,0.00730694283373809
"193","Theileria cervi",0.0276473401536968,0.000587744322729972,6.37344104065776e-05,0.0657423232727586,0.0250039802143158
"194","Theileria equi",0.00921578005123228,0.000522711501835313,7.41036957725812e-06,0.0483851211002779,0.0030679697783904
"195","Theileria mutans",0.00460789002561614,0.000514820490094957,0,0.0525324171945875,0.00730694283373809
"196","Theileria parva",0.00460789002561614,0.000514820490094957,0,0.0525324171945875,0.00730694283373809
"197","Toxoplasma gondii",0.373239092074907,0.000862569214376857,0.270179755132543,0.0357611841547734,0.009304510291392
"198","Triadinium galea",0.00460789002561614,0.000516453113213652,0,0.0645134948003707,0.00122805424553488
"199","Trichomonas intestinalis",0.00460789002561614,0.000403774907638429,0,0.0165891843772382,7.95557601401132e-05
"200","Troglocorys cava",0.00460789002561614,0.000520924686533187,0,0.0635918734460797,0.0356188451719332
"201","Troglodytella abrassarti",0.00460789002561614,0.000520924686533187,0,0.0635918734460797,0.0356188451719332
"202","Trypanosoma advieri",0.00460789002561614,0.000478884641226807,0,0.0138243203143651,0.000417087727114457
"203","Trypanosoma brucei",0.0691183503842421,0.000534711281757717,0.00221913950756507,0.0090933306956713,0.00124984733786539
"204","Trypanosoma cervi",0.00921578005123228,0.000549740484578142,4.0361490072212e-06,0.0677391695403892,0.00358351025504174
"205","Trypanosoma congolense",0.0368631202049291,0.000534230564950546,6.50923204224587e-05,0.0120962802750695,0.00081064552509354
"206","Trypanosoma conorhini",0.0138236700768484,0.000459510846884967,1.02464369463322e-06,0.0144387345505592,0.00306096159824876
"207","Trypanosoma cruzi",0.193531381075878,0.000638718444546985,0.0419555391242216,0.0150092620555965,0.00518967553134653
"208","Trypanosoma cyclops",0.00921578005123228,0.000408210200444215,0,0.0179716164086747,0.00459144239737314
"209","Trypanosoma devei",0.0276473401536968,0.000422232619008112,1.82972088327361e-07,0.00706576371623107,0.000538996160840704
"210","Trypanosoma diasi",0.00460789002561614,0.000414840464331802,0,0.0129026989600741,0.000253596955957056
"211","Trypanosoma evansi",0.0368631202049291,0.000568606351727499,0.000302766201706388,0.0216581018258387,0.00890381078772544
"212","Trypanosoma hippicum",0.00921578005123228,0.000504843348814047,0,0.0225797231801297,0.0342357110454957
"213","Trypanosoma irangiense",0.00921578005123228,0.000356329065783483,3.04408920758913e-06,0.00460810677145505,0.000783356850037603
"214","Trypanosoma lambrechti",0.0276473401536968,0.000508743504042039,6.31580440601408e-06,0.0119810776057831,0.0119765614992552
"215","Trypanosoma lesourdi",0.00460789002561614,0.000478884641226807,0,0.0138243203143651,0.000417087727114457
"216","Trypanosoma minasense",0.133628810742868,0.000541940174122158,0.00872000427977651,0.0106463156443961,0.00336134829431535
"217","Trypanosoma mycetae",0.0368631202049291,0.000513913477251238,8.06829681044822e-06,0.0137091176450788,0.00877317574336311
"218","Trypanosoma perodictici",0.0138236700768484,0.000442595057349606,0.000478796895344787,0.00675855659813407,0.00253677143202149
"219","Trypanosoma pestanai",0.00460789002561614,0.000504208439823444,0,0.0433162036516774,0.00011896374638878
"220","Trypanosoma primatum",0.0184315601024646,0.000539427748545056,9.33275498792609e-06,0.0357128274787766,0.0105270819492188
"221","Trypanosoma rangeli",0.0506867902817775,0.000478839290584621,1.81328606891135e-05,0.0123162126437071,0.00210758813029961
"222","Trypanosoma sanmartini",0.00460789002561614,0.000421280255522207,0,0.0304135046916033,0.0186400370745761
"223","Trypanosoma simiae",0.0230394501280807,0.000525931397430516,5.7527295865781e-06,0.0180637785441038,0.000797932383264546
"224","Trypanosoma theileri",0.00460789002561614,0.000514820490094957,0,0.0525324171945875,0.00730694283373809
"225","Trypanosoma venezuelense",0.00921578005123228,0.000504843348814047,0,0.0225797231801297,0.0342357110454957
"226","Trypanosoma vivax",0.0460789002561614,0.000514883980994018,9.5426478780159e-06,0.00820243005318998,0.00115572915602791
