"","protname","prot_degree","prot_normalised.degree","prot_species.specificity.index","prot_betweenness","prot_weighted.betweenness","prot_closeness","prot_weighted.closeness","prot_proportional.generality","mean_host_degree","mean_host_normalised.degree","mean_host_species.specificity.index","mean_host_betweenness","mean_host_weighted.betweenness","mean_host_closeness","mean_host_weighted.closeness","mean_host_proportional.generality"
"32","Eimeria furonis",1,0.00223713646532438,1,0,0,0.000448626692760338,0.000200654008238275,0.00460789002561614,5,0.0025025025025025,0.446765485572294,0.00101026556048647,4.16324856525087e-07,0.00262788787251112,0.000866533043502459,0.00460810677145505
"33","Eimeria ictidea",1,0.00223713646532438,1,0,0,0.000448626692760338,0.000200654008238275,0.00460789002561614,5,0.0025025025025025,0.446765485572294,0.00101026556048647,4.16324856525087e-07,0.00262788787251112,0.000866533043502459,0.00460810677145505
"34","Eimeria macusaniensis",1,0.00223713646532438,1,0,0,0.000369680294843028,0.000184168345008187,0.00460789002561614,4,0.002002002002002,0.499624295501112,0,0,0.00192640560843972,0.000828568064285478,0.00368648541716404
"35","Eimeria madisonensis",1,0.00223713646532438,1,0,0,0.000530874617428785,0.000205879048138432,0.00460789002561614,92,0.046046046046046,0.10185409681368,0.014661145740568,0.00694997549363207,0.00315310936464579,0.0015339238793105,0.0847891645947729
"36","Eimeria mccordocki",1,0.00223713646532438,1,0,0,0.000530874617428785,0.000205879048138432,0.00460789002561614,92,0.046046046046046,0.10185409681368,0.014661145740568,0.00694997549363207,0.00315310936464579,0.0015339238793105,0.0847891645947729
"37","Eimeria melis",1,0.00223713646532438,1,0,0,0.000504208439823444,0.000203275123786918,0.00460789002561614,47,0.0235235235235235,0.144175236768601,0.00513289095000193,0.00011896374638878,0.00298931147557328,0.00146501979255743,0.0433162036516774
"38","Eimeria mephitidis",1,0.00223713646532438,1,0,0,0.00039670020745742,0.000195384980288045,0.00460789002561614,8,0.004004004004004,0.352933198727672,2.14271784462503e-06,0,0.00214628647040119,0.00108966980319657,0.00737297083432808
"39","Eimeria nuttalli",2,0.00447427293064877,0.706313615730871,0,0,0.000557903600171614,0.000284189079002291,0.00921578005123228,85,0.0425425425425425,0.226239069019833,0.0183205606772287,0.0233381680192729,0.00309969700951345,0.00139105783438999,0.078337815114736
"40","Eimeria odocoilei",1,0.00223713646532438,1,0,0,0.000530874617428785,0.000205879048138432,0.00460789002561614,92,0.046046046046046,0.10185409681368,0.014661145740568,0.00694997549363207,0.00315310936464579,0.0015339238793105,0.0847891645947729
"41","Eimeria pachylepyron",1,0.00223713646532438,1,0,0,0.000294715683309645,0.000149992284093052,0.00460789002561614,6,0.003003003003003,0.407736893181242,0,0,0.00159863178911093,0.000682164284074387,0.00552972812574606
"42","Eimeria vulpis",1,0.00223713646532438,1,0,0,0.000486839143866223,0.000202086587890789,0.00460789002561614,19,0.00950950950950951,0.228379471807638,0.00072220942498329,2.08162428262544e-07,0.00280770946812333,0.00138080968959249,0.0175108057315292
"43","Eimeria zuernii",1,0.00223713646532438,1,0,0,0.000505115452667163,0.000203972761354034,0.00460789002561614,35,0.0175175175175175,0.167585753033445,0.00335372635926688,0.000388930680965736,0.00285578058774243,0.00143982831652362,0.0322567474001853
"44","Endolimax nana",14,0.0313199105145414,0.263337374312499,0.0020509445288897,0.000793065172668225,0.0005795812071365,0.000366737895949187,0.0645104603586259,29.9285714285714,0.014979264979265,0.209851061722127,0.00745304977064869,0.0100650697001573,0.00272765452156188,0.00128583541258373,0.0275828105319952
"45","Entamoeba chattoni",4,0.00894854586129754,0.498315548272602,0.00014057166746309,4.20475403585012e-06,0.000556633782190407,0.000308038247278199,0.0184315601024646,47.25,0.0236486486486486,0.164189066098958,0.0166600875088017,0.0315584414508845,0.00299420760812708,0.00136682990193883,0.0435466089902502
"46","Entamoeba coli",28,0.0626398210290828,0.183172623832594,0.00513520708645155,0.0152011937334004,0.000602165826945106,0.000389615518427509,0.129020920717252,23.4642857142857,0.0117438867438867,0.254252576333872,0.00601201110628632,0.00568261574998285,0.00266378224688279,0.00124183013647956,0.0216251867774712
"47","Entamoeba dispar",2,0.00447427293064877,0.706313615730871,1.06572951034442e-05,1.37229066245521e-07,0.000460472280499309,0.000253622823114679,0.00921578005123228,16,0.00800800800800801,0.252447507036064,0.00349016060259892,0.000764506255283945,0.00253352604511065,0.00124524386606303,0.0147459416686561
"48","Entamoeba hartmanni",17,0.0380313199105145,0.238145477107897,0.0065933668559432,0.002316788573287,0.000606700891163701,0.000376931520926759,0.0783341304354744,32.5882352941176,0.0163104280751339,0.210092321301345,0.00755389802813468,0.00890820044473623,0.00274141530969437,0.00128978893778014,0.0300340135457188
"49","Entamoeba polecki",1,0.00223713646532438,1,0,0,0.000500879702686995,0.000204219470357347,0.00460789002561614,53,0.0265265265265265,0.135560398111239,0.0103322585482018,0.00700652389863285,0.00294035015003531,0.00139078373007741,0.0488459317774235
"50","Entopolypoides macaci",4,0.00894854586129754,0.498315548272602,0.000473443979861137,6.70549138936843e-06,0.000525024384586797,0.000317987937356339,0.0184315601024646,31.5,0.0157657657657658,0.182039812052222,0.0112614081460102,0.00614711831848233,0.00278500921719208,0.00127624190441939,0.0290310726601668
"51","Giardia intestinalis",21,0.0469798657718121,0.213268995209677,0.018321861780289,0.0185620036993387,0.000657675012980714,0.000412496191463341,0.0967656905379389,36.8571428571429,0.0184470184470184,0.22635643198216,0.00568254692511404,0.0116935016183137,0.00281063443042819,0.00126182140649612,0.0339683299152972
"52","Hepatocystis cercopitheci",5,0.0111856823266219,0.4452036365832,4.3952677027106e-05,1.46377670661889e-06,0.000498965905586747,0.000288749518834453,0.0230394501280807,12,0.006006006006006,0.428879169200942,0.00382783649712245,0.00089862054981514,0.00241512865790063,0.00101620566490897,0.0110594562514921
"53","Hepatocystis foleyi",1,0.00223713646532438,1,0,0,0.000407602501838923,0.000192359792414714,0.00460789002561614,8,0.004004004004004,0.352933198727672,0.00262788454877041,0.000302876333122001,0.00229406065293399,0.000871485798527184,0.00737297083432808
"54","Hepatocystis kochi",19,0.0425055928411633,0.224738591491418,0.000914721828327201,0.000648445829932999,0.00056153165154649,0.000367627092404716,0.0875499104867067,17.8947368421053,0.00895632474579842,0.36118440184367,0.00443946545165948,0.00353739162006205,0.00251388529136374,0.00111753468892192,0.0164921716031023
"55","Hepatocystis semnopitheci",4,0.00894854586129754,0.498315548272602,6.21025433512093e-05,1.82972088327361e-06,0.000447220822852573,0.000266014121186612,0.0184315601024646,13.25,0.00663163163163163,0.310812080953858,0.00220621164772471,0.0022995461833059,0.00227469867419852,0.00099721268076172,0.0122114829443559
"56","Hepatocystis simiae",5,0.0111856823266219,0.4452036365832,0.000236634145506227,9.79967046080933e-06,0.000548470666596936,0.000328815929633214,0.0230394501280807,39.4,0.0197197197197197,0.173748873539582,0.0127192745518097,0.0196873018227787,0.00292254603165786,0.0013484377090048,0.0363118813590658
"57","Hepatocystis taiwanensis",1,0.00223713646532438,1,0,0,0.000428581708914146,0.000196818739367183,0.00460789002561614,8,0.004004004004004,0.352933198727672,0.0029719917576905,0,0.00231987662458129,0.000931539550878869,0.00737297083432808
"58","Hepatozoon americanum",2,0.00447427293064877,0.706313615730871,2.82352644317121e-05,9.14860441636805e-07,0.000529423396878835,0.000281417720494785,0.00921578005123228,58,0.029029029029029,0.143378308602989,0.00569813844837375,0.00122791022146519,0.00300355477027524,0.00146749227758753,0.0534540385488785
"59","Hepatozoon canis",5,0.0111856823266219,0.4452036365832,0.000203213981213546,8.32998254066966e-06,0.000559264119437193,0.000349592675532096,0.0230394501280807,45.2,0.0226226226226226,0.224480693902875,0.00770044363673853,0.0208790951735713,0.00290153717197247,0.00133997498053779,0.0416572852139535
"60","Hepatozoon JM-1",1,0.00223713646532438,1,0,0,0.000423194052622454,0.000194441611153433,0.00460789002561614,20,0.01001001001001,0.222540527611589,0.00388195764043235,0.00159244257620846,0.00222551479718082,0.00124877783600972,0.0184324270858202
"61","Hepatozoon JM-2",1,0.00223713646532438,1,0,0,0.000423194052622454,0.000194441611153433,0.00460789002561614,20,0.01001001001001,0.222540527611589,0.00388195764043235,0.00159244257620846,0.00222551479718082,0.00124877783600972,0.0184324270858202
"62","Hepatozoon JM-3",1,0.00223713646532438,1,0,0,0.000423194052622454,0.000194441611153433,0.00460789002561614,20,0.01001001001001,0.222540527611589,0.00388195764043235,0.00159244257620846,0.00222551479718082,0.00124877783600972,0.0184324270858202
"63","Hepatozoon JM-4",1,0.00223713646532438,1,0,0,0.000423194052622454,0.000194441611153433,0.00460789002561614,20,0.01001001001001,0.222540527611589,0.00388195764043235,0.00159244257620846,0.00222551479718082,0.00124877783600972,0.0184324270858202
"64","Hepatozoon JM-5",1,0.00223713646532438,1,0,0,0.000423194052622454,0.000194441611153433,0.00460789002561614,20,0.01001001001001,0.222540527611589,0.00388195764043235,0.00159244257620846,0.00222551479718082,0.00124877783600972,0.0184324270858202
"65","Hepatozoon JM-6",1,0.00223713646532438,1,0,0,0.000423194052622454,0.000194441611153433,0.00460789002561614,20,0.01001001001001,0.222540527611589,0.00388195764043235,0.00159244257620846,0.00222551479718082,0.00124877783600972,0.0184324270858202
"66","Hepatozoon JM-7",1,0.00223713646532438,1,0,0,0.000423194052622454,0.000194441611153433,0.00460789002561614,20,0.01001001001001,0.222540527611589,0.00388195764043235,0.00159244257620846,0.00222551479718082,0.00124877783600972,0.0184324270858202
"67","Hepatozoon JM-8",1,0.00223713646532438,1,0,0,0.000423194052622454,0.000194441611153433,0.00460789002561614,20,0.01001001001001,0.222540527611589,0.00388195764043235,0.00159244257620846,0.00222551479718082,0.00124877783600972,0.0184324270858202
"68","Hepatozoon procyonis",2,0.00447427293064877,0.706313615730871,0.000179367442962788,1.94179128737412e-05,0.000560443236134027,0.000261151571595718,0.00921578005123228,86.5,0.0432932932932933,0.195298135283362,0.01955050899276,0.0233494087903991,0.0029710622542364,0.00128381238459756,0.0797202471461725
"69","Iodamoeba butschlii",22,0.0492170022371365,0.208120899982141,0.00363976149872768,0.00174336073703415,0.000596088840892188,0.000374257232633737,0.101373580563555,26.1363636363636,0.0130812630812631,0.245747440874886,0.00737923786470076,0.00962183257326323,0.0026818667223191,0.00124379319806285,0.0240878308507877
"70","Isospora arctopitheci",1,0.00223713646532438,1,0,0,0.000436617842709497,0.0001961314949199,0.00460789002561614,12,0.00600600600600601,0.287878987540252,0.00230306769432307,0.000629628896765715,0.00257892654697314,0.000996267986310418,0.0110594562514921
"71","Isospora cebi",1,0.00223713646532438,1,0,0,0.00041071355589288,0.000187009287872233,0.00460789002561614,11,0.00550550550550551,0.300755486420614,0.00115903088065225,2.50597826138351e-05,0.00249435698468027,0.00104225903269495,0.0101378348972011
"72","Isospora endocallimici",1,0.00223713646532438,1,0,0,0.000300547775894759,0.000149880348731321,0.00460789002561614,3,0.0015015015015015,0.577061087969786,0,0,0.00157780097060932,0.000487076211920972,0.00276486406287303
"73","Isospora lutrae",1,0.00223713646532438,1,0,0,0.000496045324229972,0.000203549002028694,0.00460789002561614,54,0.027027027027027,0.134264815051603,0.00258135353303634,3.18488515241692e-05,0.00282373317466303,0.00143176689396718,0.0497675531317145
"74","Isospora melis",1,0.00223713646532438,1,0,0,0.000504208439823444,0.000203275123786918,0.00460789002561614,47,0.0235235235235235,0.144175236768601,0.00513289095000193,0.00011896374638878,0.00298931147557328,0.00146501979255743,0.0433162036516774
"75","Isospora papionis",1,0.00223713646532438,1,0,0,0.000528788487888231,0.0002072135535383,0.00460789002561614,58,0.029029029029029,0.129418939200451,0.0244274328435108,0.084569094590019,0.00329554231166537,0.00143988578829708,0.0534540385488785
"76","Isospora saimirae",1,0.00223713646532438,1,0,0,0.000421280255522207,0.000187546091634475,0.00460789002561614,33,0.0165165165165165,0.172677310185521,0.00397315713042462,0.0186400370745761,0.00259584045943171,0.00115826143661332,0.0304135046916033
"77","Isospora sengeri",1,0.00223713646532438,1,0,0,0.00039670020745742,0.000195384980288045,0.00460789002561614,8,0.004004004004004,0.352933198727672,2.14271784462503e-06,0,0.00214628647040119,0.00108966980319657,0.00737297083432808
"78","Isospora spilogales",1,0.00223713646532438,1,0,0,0.00039670020745742,0.000195384980288045,0.00460789002561614,8,0.004004004004004,0.352933198727672,2.14271784462503e-06,0,0.00214628647040119,0.00108966980319657,0.00737297083432808
"79","Isospora vulpis",1,0.00223713646532438,1,0,0,0.000545296121643919,0.000206118325891765,0.00460789002561614,147,0.0735735735735736,0.0794064004472872,0.0178739696971606,0.097757706844756,0.00324034954469528,0.00155428774363273,0.135478339080778
"80","Leishmania braziliensis",1,0.00223713646532438,1,0,0,0.000436617842709497,0.0001961314949199,0.00460789002561614,12,0.00600600600600601,0.287878987540252,0.00230306769432307,0.000629628896765715,0.00257892654697314,0.000996267986310418,0.0110594562514921
"81","Leishmania chagasi",1,0.00223713646532438,1,0,0,0.000487383351572455,0.000202424037955224,0.00460789002561614,25,0.0125125125125125,0.198794564609744,0.00577949167308911,0.00256967596443184,0.00298218982822231,0.00137124605546007,0.0230405338572752
"82","Leishmania donovani",1,0.00223713646532438,1,0,0,0.000486839143866223,0.000202086587890789,0.00460789002561614,19,0.00950950950950951,0.228379471807638,0.00072220942498329,2.08162428262544e-07,0.00280770946812333,0.00138080968959249,0.0175108057315292
"83","Leishmania infantum",7,0.0156599552572707,0.375413502535498,0.000232214843147032,2.24302235958915e-05,0.000567517936315036,0.000381879227354915,0.032255230179313,51.2857142857143,0.0256685256685257,0.168126677925807,0.00708103514292363,0.0170495472012742,0.00297341494130771,0.00144993705147836,0.0472660094557817
"84","Leishmania shawi",2,0.00447427293064877,0.706313615730871,2.27493690213552e-05,0,0.000415384672038033,0.000237887348741427,0.00921578005123228,9.5,0.00475475475475476,0.356577701624219,0.00198036412129154,0.000889921939989013,0.00230643451520632,0.00100567701414274,0.00875540286576458
"85","Neospora caninum",37,0.0827740492170022,0.157624469153639,0.0129356263047087,0.00948466051777474,0.000738852662493573,0.000444668240694091,0.170491930947797,47.4594594594595,0.0237534832129427,0.206672204085171,0.00644976013404912,0.0108161072199401,0.00294112005785703,0.00138301882594919,0.0437396513009463
"86","Pentatrichomonas hominis",3,0.00671140939597315,0.57605430735515,4.40173984067169e-05,2.76491155694679e-06,0.000530629723960981,0.000292621163817132,0.0138236700768484,44,0.022022022022022,0.195082759244826,0.00998911552836482,0.0123633197768787,0.00278189349647603,0.00130562968758655,0.0405513395888044
"87","Plasmodium brasilianum",29,0.0648769574944072,0.179771860302469,0.00362626647505495,0.00552812001141161,0.000539309836875373,0.000355370836415559,0.133628810742868,10.4137931034483,0.00521210866038452,0.408231163326212,0.00293721886626772,0.003316669026435,0.00239939964021683,0.000967573589274642,0.00959757410330637
"88","Plasmodium coatneyi",3,0.00671140939597315,0.57605430735515,1.20689173388288e-05,9.88049276967749e-07,0.000410749836406628,0.000256673398488725,0.0138236700768484,18.3333333333333,0.00917584250917584,0.245838383586311,0.00483606080241265,0.00412737771823777,0.00235340771419215,0.00109654592026126,0.0168963914953352
"89","Plasmodium cynomolgi",8,0.0178970917225951,0.350767895611797,0.000736546145847466,0.00170480499317201,0.000506612023859299,0.000311290772117729,0.0368631202049291,14.875,0.00744494494494494,0.285699685027701,0.00348483952483306,0.00191421826680879,0.00237484684007166,0.00103592274203673,0.0137091176450788
"90","Plasmodium eylesi",1,0.00223713646532438,1,0,0,0.000385861403974977,0.000182732096495364,0.00460789002561614,7,0.0035035035035035,0.377396247471665,0.0077665919558224,0.00317739130499946,0.00227536632863768,0.00095618074082477,0.00645134948003707
"91","Plasmodium falciparum",5,0.0111856823266219,0.4452036365832,0.00165216402361207,0.000183827773272178,0.000557268691181011,0.000296989724841026,0.0230394501280807,40.2,0.0201201201201201,0.181672145160329,0.0139167422998957,0.0251563927578024,0.00281874802151734,0.00125360795793232,0.0370491784424986
"92","Plasmodium fieldi",2,0.00447427293064877,0.706313615730871,0,0,0.000408210200444215,0.000255422343455211,0.00921578005123228,19.5,0.00975975975975975,0.244227914436051,0.0038973391058498,0.00459144239737314,0.00235459465541731,0.00110871613943747,0.0179716164086747
"93","Plasmodium fragile",2,0.00447427293064877,0.706313615730871,1.20359748025528e-05,0,0.000471057120385511,0.000217420770235078,0.00921578005123228,12,0.006006006006006,0.309479159326797,0.00289238956462655,0.00112936396519917,0.00242803664372428,0.00106559515202818,0.0110594562514921
"94","Plasmodium gaboni",1,0.00223713646532438,1,0,0,0.000520924686533187,0.000205298771496495,0.00460789002561614,69,0.0345345345345345,0.118318467532351,0.0194960157942479,0.0356188451719332,0.00305073568397547,0.0013803105737325,0.0635918734460797
"95","Plasmodium georgesi",2,0.00447427293064877,0.706313615730871,2.10249041182819e-06,0,0.000455102764464492,0.000254396006013079,0.00921578005123228,11.5,0.00575575575575575,0.313227784679248,0.000926664110589128,3.18431743670347e-05,0.00241067762830627,0.00111455588916132,0.0105986455743466
"96","Plasmodium girardi",1,0.00223713646532438,1,0,0,0.000407602501838923,0.000192359792414714,0.00460789002561614,8,0.004004004004004,0.352933198727672,0.00262788454877041,0.000302876333122001,0.00229406065293399,0.000871485798527184,0.00737297083432808
"97","Plasmodium gonderi",7,0.0156599552572707,0.375413502535498,0.000139272742502771,4.16261500944746e-06,0.000466857650919092,0.000333077936665537,0.032255230179313,9.42857142857143,0.00471900471900472,0.374599578546303,0.000722795758712104,0.000454901409594376,0.00230237771966174,0.00101956118419074,0.00868957276902953
"98","Plasmodium hylobati",1,0.00223713646532438,1,0,0,0,NA,0.00460789002561614,1,0.0005005005005005,1,0,0,0,NA,0.00092162135429101
"99","Plasmodium inui",10,0.0223713646532438,0.313020866365597,0.00146021447088324,0.00367926866971589,0.000485950271279378,0.000311213258306164,0.0460789002561614,10.9,0.00545545545545545,0.398785978376794,0.0023470958969258,0.0013074065066258,0.00215333690127866,0.000915411535814088,0.010045672761772
"100","Plasmodium jefferyi",1,0.00223713646532438,1,0,0,0.000385861403974977,0.000182732096495364,0.00460789002561614,7,0.0035035035035035,0.377396247471665,0.0077665919558224,0.00317739130499946,0.00227536632863768,0.00095618074082477,0.00645134948003707
"101","Plasmodium knowlesi",3,0.00671140939597315,0.57605430735515,1.52189203914624e-06,2.9406228481183e-07,0.000408482304297331,0.00025590916853569,0.0138236700768484,15,0.0075075075075075,0.298730907351115,0.00263232256733267,0.00306096159824876,0.00217726563637794,0.00105098839951983,0.0138243203143652
"102","Plasmodium rodhaini",1,0.00223713646532438,1,0,0,0.000520924686533187,0.000205298771496495,0.00460789002561614,69,0.0345345345345345,0.118318467532351,0.0194960157942479,0.0356188451719332,0.00305073568397547,0.0013803105737325,0.0635918734460797
"103","Plasmodium petersi",2,0.00447427293064877,0.706313615730871,2.10249041182819e-06,0,0.000455102764464492,0.000254396006013079,0.00921578005123228,11.5,0.00575575575575575,0.313227784679248,0.000926664110589128,3.18431743670347e-05,0.00241067762830627,0.00111455588916132,0.0105986455743466
