"","parname","ProtType","Intracellular","HasDomesticHost","SexualReproduction","NumOrganSystems"
"108","Isospora spilogales","Sporozoan",1,NA,1,1
"109","Isospora vulpis","Sporozoan",1,NA,1,1
"110","Leishmania braziliensis","Flagellate",1,NA,NA,4
"111","Leishmania chagasi","Flagellate",1,1,NA,4
"112","Leishmania donovani","Flagellate",1,1,NA,4
"113","Leishmania infantum","Flagellate",1,1,NA,4
"114","Leishmania shawi","Flagellate",1,NA,NA,4
"115","Metadinium medium","Ciliate",NA,NA,NA,NA
"116","Neospora caninum","Sporozoan",NA,NA,NA,NA
"117","Ostracodinium gracile","Ciliate",NA,NA,NA,NA
"118","Ostracodinium mammosum","Ciliate",NA,NA,NA,NA
"119","Ostracodinium trivesiculatum","Ciliate",NA,NA,NA,NA
"120","Paraisotricha minuta","Ciliate",NA,NA,NA,NA
"121","Paraplagiopyla kiboko","Ciliate",NA,NA,NA,NA
"122","Parentodinium africanum","Ciliate",NA,NA,NA,NA
"123","Parentodinium ostrea","Ciliate",NA,NA,NA,NA
"124","Pentatrichomonas hominis","Flagellate",NA,NA,NA,NA
"125","Plasmodium brasilianum","Sporozoan",1,NA,1,3
"126","Plasmodium coatneyi","Sporozoan",1,NA,1,3
"127","Plasmodium cynomolgi","Sporozoan",1,NA,1,3
"128","Plasmodium eylesi","Sporozoan",1,NA,1,3
"129","Plasmodium falciparum","Sporozoan",1,NA,1,3
"130","Plasmodium fieldi","Sporozoan",1,NA,1,3
"131","Plasmodium fragile","Sporozoan",1,NA,1,3
"132","Plasmodium gaboni","Sporozoan",1,NA,1,3
"133","Plasmodium georgesi","Sporozoan",1,NA,1,3
"134","Plasmodium girardi","Sporozoan",1,NA,1,3
"135","Plasmodium gonderi","Sporozoan",1,NA,1,3
"136","Plasmodium hylobati","Sporozoan",1,NA,1,3
"137","Plasmodium inui","Sporozoan",1,NA,1,3
"138","Plasmodium jefferyi","Sporozoan",1,NA,1,3
"139","Plasmodium knowlesi","Sporozoan",1,NA,1,3
"140","Plasmodium petersi","Sporozoan",1,NA,1,3
"141","Plasmodium pitheci","Sporozoan",1,NA,1,3
"142","Plasmodium reichenowi","Sporozoan",1,NA,1,3
"143","Plasmodium rodhaini","Sporozoan",1,NA,1,3
"144","Plasmodium schwetzi","Sporozoan",1,NA,1,3
"145","Plasmodium shortii","Sporozoan",1,NA,1,3
"146","Plasmodium simiovale","Sporozoan",1,NA,1,3
"147","Plasmodium simium","Sporozoan",1,NA,1,3
"148","Plasmodium vivax","Sporozoan",1,NA,1,3
"149","Plasmodium youngi","Sporozoan",1,NA,1,3
"150","Polyplastron multivesiculatum","Ciliate",NA,NA,NA,NA
"151","Prototapirella gorillae","Ciliate",NA,NA,NA,NA
"152","Retortamonas intestinalis","Flagellate",NA,NA,NA,NA
"153","Sarcocystis alces","Sporozoan",1,1,1,2
"154","Sarcocystis alceslatrans","Sporozoan",1,1,1,2
"155","Sarcocystis americana","Sporozoan",1,1,1,2
"156","Sarcocystis arctosi","Sporozoan",1,1,1,2
"157","Sarcocystis arieticanis","Sporozoan",1,1,1,2
"158","Sarcocystis axicuonis","Sporozoan",1,1,1,2
"159","Sarcocystis camelopardalis","Sporozoan",1,1,1,2
"160","Sarcocystis capracanis","Sporozoan",1,1,1,2
"161","Sarcocystis capreolicanis","Sporozoan",1,1,1,2
"162","Sarcocystis danzani","Sporozoan",1,1,1,2
"163","Sarcocystis dubeyella","Sporozoan",1,1,1,2
"164","Sarcocystis elegans","Sporozoan",1,1,1,2
"165","Sarcocystis felis","Sporozoan",1,1,1,2
"166","Sarcocystis fusiformis","Sporozoan",1,1,1,2
"167","Sarcocystis gazellae","Sporozoan",1,1,1,2
"168","Sarcocystis giraffae","Sporozoan",1,1,1,2
"169","Sarcocystis grueneri","Sporozoan",1,1,1,2
"170","Sarcocystis hardangeri","Sporozoan",1,1,1,2
"171","Sarcocystis hemioni","Sporozoan",1,1,1,2
"172","Sarcocystis hemionilatrantis","Sporozoan",1,1,1,2
"173","Sarcocystis hominis","Sporozoan",1,1,1,2
"174","Sarcocystis kirkpatricki","Sporozoan",1,1,1,2
"175","Sarcocystis klaseriensis","Sporozoan",1,1,1,2
"176","Sarcocystis melampi","Sporozoan",1,1,1,2
"177","Sarcocystis mephitisi","Sporozoan",1,1,1,2
"178","Sarcocystis mongolica","Sporozoan",1,1,1,2
"179","Sarcocystis neurona","Sporozoan",1,1,1,2
"180","Sarcocystis odocoileocanis","Sporozoan",1,1,1,2
"181","Sarcocystis ovalis","Sporozoan",1,1,1,2
"182","Sarcocystis phacochoeri","Sporozoan",1,1,1,2
"183","Sarcocystis rangi","Sporozoan",1,1,1,2
"184","Sarcocystis scandinavica","Sporozoan",1,1,1,2
"185","Sarcocystis sebeki","Sporozoan",1,1,1,2
"186","Sarcocystis tarandivulpes","Sporozoan",1,1,1,2
"187","Sarcocystis ursusi","Sporozoan",1,1,1,2
"188","Sarcocystis woodhousei","Sporozoan",1,1,1,2
"189","Sarcocystis youngi","Sporozoan",1,1,1,2
"190","Spirodinium equi","Ciliate",NA,NA,NA,NA
"191","Tetratoxum parvum","Ciliate",NA,NA,NA,NA
"192","Tetratoxum unifasciculatum","Ciliate",NA,NA,NA,NA
"193","Theileria annae","Sporozoan",1,NA,1,1
"194","Theileria bicornis","Sporozoan",1,NA,1,1
"195","Theileria buffeli","Sporozoan",1,NA,1,1
"196","Theileria cervi","Sporozoan",1,NA,1,1
"197","Theileria mutans","Sporozoan",1,NA,1,1
"198","Theileria parva","Sporozoan",1,1,1,1
"199","Toxoplasma gondii","Sporozoan",1,1,1,10
"200","Triadinium galea","Ciliate",NA,NA,NA,NA
"201","Trichomonas intestinalis","Flagellate",0,NA,NA,1
"202","Troglocorys cava","Ciliate",NA,NA,NA,NA
