ParasiteCorrectedName,have_zooscore,have_trait,Note,Insect,GenusOnly,Commensal.,ZooScore,ConfidenceScore,XC_ZooScore,XC_CScore,XC_Notes,XC_WhoBy,XC_Date,PGF_ZooScore,PGF_CScore,PGF_notes,Non.GMPD,SearchStringGoog,Googlehits.As.of.2.8.2017.,SearchStringWOS,WOShits..As.of.2.6.2017.,Notes,Citation,PrintRef,WhoBy,DateEntry,XCCitation,PGF.Citation,PGF.more.citations,Nematode,GMPD_traits,GMPD_tax,Google,Tao.note,GMPDtraits,GMPDtax
Sarcocystis silva,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spirodinium equi,1,NA,NA,NA,0,,,,-1,3,,VR,42653,,,,0,Spirodinium equi,60,Spirodinium equi,60,,Davis 1941,,VR,42653,,,,NA,0,1,No,,,
Tetratoxum parvum,1,NA,NA,NA,0,,,,-1,3,,VR,42621,,,,0,Tetratoxum parvum,13,Tetratoxum parvum,3,,Gurelli and Gocmen 2011,,VR,42621,,,,NA,0,1,No,,,
Tetratoxum unifasciculatum,1,NA,NA,NA,0,,,,-1,3,,VR,42621,,,,0,Tetratoxum unifasciculatum,25,Tetratoxum unifasciculatum,39,,Davis 1941,,VR,42621,,,,NA,0,1,No,,,
Triadinium galea,1,NA,NA,NA,0,,,,-1,3,,VR,42612,,,,0,Triadinium galea,27,Triadinium galea,254,,"Guiris et al., 2010",,VR,42612,,,,NA,0,1,No,,,
Troglocorys cava,1,NA,NA,NA,0,,,,-1,2,,VR,42584,,,,0,Troglocorys cava,28,Troglocorys cava,24,,"Tokhiwa et al., 2010",,VR,42584,,,,NA,0,1,No,,,
Trypanosoma advieri,NA,1,Trypanosoma advieri (Syn. T. minasense) (Flynn's Parasites of Laboratory Animals edited by David G. Baker),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trypanosoma conorhini,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trypanosoma forestali,NA,NA,Trypanosomiasis is on gideon.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trypanosoma sp. TSD1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
